Nationality	Position	Apps	Goals	Years
Wales	MF	620	109	1992–
England	GK	572	0	1992–2010
England	MF	553	164	1995–
Wales	MF	535	97	1992–2008
England	FW	516	111	1996–2012
England	DF	509	3	1997–2013
England	DF	505	9	1995–2013
Australia	GK	504	0	1996–
England	MF	503	48	1997–
England	DF	503	20	1992–2011
England	MF	499	107	1995–2013
England	DF	478	11	1996–
United States	GK	447	1	1997–
England	FW	442	87	1997–2012
Northern Ireland	DF	442	5	1997–
England	MF	439	98	1998–
England	FW	441	260	1992–2006
Republic of Ireland	GK	440	0	1996–
England	DF	425	17	1992–2006
England	FW	418	147	1992–2007
Finland	GK	416	0	2001–
England	MF	416	52	1997–2012
England	FW	415	188	1993–2008
France	DF	411	7	2001–
England	MF	411	29	1992–2009
Republic of Ireland	DF	409	10	1996-2013
England	DF	398	5	1995–2011
England	MF	397	57	1996–2011
England	DF	387	32	1998–
Netherlands	MF	382	17	1997–2010
England	MF	381	21	1999–
England	MF	379	21	1992–2007
England	FW	379	162	1993–2009
England	DF	377	9	1998–2013
Republic of Ireland	DF	377	8	1993–2011
Republic of Ireland	MF	377	54	1996–
Trinidad & Tobago	FW	375	123	1992–2009
England	GK	372	1	1998–2012
England	GK	371	0	1992–2006
England	DF	367	15	1999–
England	FW	367	124	2000–
Republic of Ireland	MF	366	39	1992–2005
England	DF	364	38	1992–2007
England	DF	363	8	1995–2006
England	MF	360	52	1993–2007
Ireland	MF	359	23	1997–2013
Denmark	GK	358	0	1999–
England	DF	355	19	1992–2006
England	DF	352	5	1992–2003
France	FW	352	124	1996–
England	MF	351	26	1993–2006
England	FW	349	150	1992–2005
Republic of Ireland	FW	349	125	1999–2012
Wales	MF	346	20	1997–2008
England	MF	346	43	1998–
England	FW	345	156	2002-
England	GK	344	0	1992–2004
England	MF	343	54	1992–2010
England	MF	341	36	1992–2003
England	DF	339	22	1998-
England	MF	337	61	2001–
France	MF	336	39	2001–2011
Republic of Ireland	DF	335	0	1995–2006
Iceland	DF	332	15	1997–2010
England	FW	329	90	1996–2011
England	DF	329	10	1992–2004
Republic of Ireland	DF	328	18	1992–2004
England	DF	327	12	1992–2005
England	FW	326	150	1997–2013
England	MF	326	30	2002-
England	MF	325	79	2001-
England	FW	325	82	1992–2006
Republic of Ireland	DF	325	2	1993–2004
Scotland	MF	325	49	1992–2002
Ireland	MF	324	15	1999–2010
England	DF	323	4	1992–2004
France	DF	321	25	2001-2013
England	DF	321	8	1998–2011
Republic of Ireland	MF	320	12	2001-
England	DF	318	9	1992–2001
Scotland	DF	318	7	1995–2005
England	MF	317	38	1992–2005
Finland	DF	317	22	1999–2009
England	DF	316	4	1998–2012
Netherlands	FW	315	87	1995–2006
Netherlands	GK	313	0	2001–2011
England	FW	312	111	1992–2004
England	GK	312	0	1992–2004
England	MF	311	33	2000-2013
Denmark	GK	310	1	1992–2003
England	MF	309	29	2001-
Cote d'Ivoire	DF	308	11	2002-
France	MF	307	33	1996–2011
England	MF	306	42	1992–2004
England	DF	305	10	1992–2002
United States	GK	305	1	2003-
England	DF	304	5	1992–2006
Peru	MF	302	49	1998–2008
Wales	MF	301	27	2000-2013
Norway	DF	301	21	2001-
England	MF	300	24	1992–2005
England	MF	300	12	1997–2010
