Name in English	Name in Malay	Acronym	Foundation	Location
ADN Minda Management Services	—	—	—	Labis
Advanced Technology Training Center, Batu Pahat	Pusat Latihan Teknologi Tinggi Batu Pahat	ADTECBP	—	Batu Pahat
Alaf Baru Computer Centre	Pusat Komputer Alaf Baru	—	—	Batu Pahat
Aliran Mekar Automotive Engineering	Kejuruteraan Automotif Aliran Mekar	—	—	Batu Pahat
Apex Cosmeceutical Industries Sdn Bhd	—	—	—	Kulai
Army Field Engineering Institute	Institut Kejuruteraan Medan Tentera Darat	IKEM	1957	Kluang
B. P. Top Beauty Training Centre	—	—	—	Batu Pahat
Baiduri Skills Centre	Pusat Kemahiran Baiduri	—	—	Skudai
Baiduri Technological Institute	Institut Teknologi Baiduri	—	2007	Pasir Gudang
Batu Pahat Technical Secondary School	Sekolah Menengah Teknik Batu Pahat	—	1984	Batu Pahat
Batu Pahat Technical Training Centre	Pusat Latihan Teknik Batu Pahat	—	—	Batu Pahat
Clara International Beauty Academy, Batu Pahat	—	—	—	Batu Pahat
Clara International Beauty Academy, Johor Bahru	—	—	—	Johor Bahru
Darul Takzim Science & Technology Institute	Institut Sains dan Teknologi Darul Takzim	INSTEDT	—	Kota Tinggi
Dwi Karisma Sdn Bhd	Dwi Karisma Sdn Bhd	—	—	Batu Pahat
E-Access Engineering Training Centre	Pusat Latihan Kejuruteraan E-Access	—	—	Kulai
GIATMARA Centres in Johor	Pusat-pusat GIATMARA Johor	—	—	Multiple
Grand Banks School of Yacht Technology	Sekolah Teknologi Kapal Pesiar Grand Banks	—	—	Pasir Gudang
Hexa-Pro Education Group	—	—	—	Kulai
I-Systems College, Johor Bahru	Kolej I-Systems Johor Bahru	—	—	Johor Bahru
Inai Comase Sdn. Bhd.	—	—	—	Johor Bahru
Industrial Training Institute, Muar	Institut Latihan Perindustrian Muar	—	—	Pasir Gudang
Industrial Training Institute, Pasir Gudang	Institut Latihan Perindustrian Pasir Gudang	—	—	Pasir Gudang
IT Base Skills Centre	Pusat Kemahiran IT Base	—	—	Batu Pahat
Jiba Institute of Technology	Institut Teknologi Jiba	—	—	Johor Bahru
Johor Skills Development Centre	Pusat Pembangunan Tenaga Industri Johor	PUSPATRI	1993	Pasir Gudang
Kimipearl Beauty Sdn Bhd	—	—	—	Segamat
Kluang Technical Training Centre	Pusat Latihan Teknik Kluang	—	—	Kluang
Kota Tinggi Technical Secondary School	Sekolah Menengah Teknik Kota Tinggi	—	—	Kota Tinggi
La-Chito Beauty Academy	—	—	—	Skudai
Lady In Beauty Point Sdn Bhd	—	—	—	Batu Pahat
Lai Lee Beauty School	Sekolah Kecantikan Lai Lee	—	—	Johor Bahru
Maju Institute of Technology	Institut Teknologi Maju	—	—	Senai
Mind Protech Sdn Bhd	—	—	—	Pontian
Muar Technical Secondary School	Sekolah Menengah Teknik Muar	—	—	Muar
National Youth Skills College, Pontian	Kolej Kemahiran Belia Nasional, Pontian	—	—	Pontian
National Youth Skills Training Institute, Pagoh	Institut Latihan Kemahiran Belia Nasional, Pagoh	—	—	Pagoh
NB Beauty Spa Academy	—	—	—	Johor Bahru
Polymuar Technical Training Centre	Pusat Latihan Teknik Polymuar	—	—	Muar
Royal Malaysian Police Technical College	Maktab Teknik Polis Diraja Malaysia	—	2001	Bakri
SAL College Johor Bahru	Kolej SAL Johor Bahru	—	—	Johor Bahru
Strategic and Technology Education College	Kolej Pengajian Strategik dan Teknologi	—	—	Johor Bahru
Suria IT Centre	Pusat IT Suria	—	—	Masai
Systematic Training and Development Centre	—	—	—	Pekan Nenas
Tanjung Puteri Technical Secondary School	Sekolah Menengah Teknik Tanjung Puteri	—	—	Johor Bahru
Terimee Beauty Slimming Academy	—	—	—	Batu Pahat
TNM Technomate Technologies Sdn Bhd	—	—	—	Johor Bahru
Top To Toe Beauty Therapy & Cosmetology	—	—	—	Johor Bahru
Veterinary Institute	Institut Haiwan	—	1939	Kluang
VSS Academy	Akademi VSS	—	—	Skudai
Yes Hair & Beauty Studio Academy	—	—	—	Johor Bahru
YPJ Building Technology College	Kolej Teknologi Binaan YPJ	KBTYPJ	—	Johor Bahru
YPJ Community College, Batu Pahat	Kolej Komuniti YPJ Batu Pahat	KKYPJBP	—	Batu Pahat
YPJ Community College, Johor Bahru	Kolej Komuniti YPJ Johor Bahru	KKYPJJB	—	Johor Bahru
YPJ Community College, Muar	Kolej Komuniti YPJ Muar	KKYPJMR	—	Muar
YPJ Community College, Segamat	Kolej Komuniti YPJ Muar	KKYPJST	—	Segamat
YPJ Hospitality Institute	Institut Hospitaliti YPJ	IHYPJ	—	Johor Bahru
YPJ Industrial Technology Institute	Institut Teknologi Perindustrian YPJ	ITPYPJ	1996	Johor Bahru
