Wicket	Runs	Batting partners	Batting team	Fielding team	Venue	Date
1st	286	Upul Tharanga and Sanath Jayasuriya	Sri Lanka	England	Leeds	1 July 2006
2nd	331	Sachin Tendulkar and Rahul Dravid	India	New Zealand	Hyderabad	8 November 1999
3rd	238	AB de Villiers and Hashim Amla	South Africa	Pakistan	Johannesburg	17 March 2013
4th	275*	Mohammad Azharuddin and Ajay Jadeja	India	Zimbabwe	Cuttack	9 April 1998
5th	223	Mohammad Azharuddin and Ajay Jadeja	India	Sri Lanka	Colombo RPS	17 August 1997
6th	218	Mahela Jayawardene and Mahendra Singh Dhoni	Asia XI	Africa XI	Chennai	10 June 2007
7th	130	Andy Flower and Heath Streak	Zimbabwe	England	Harare	7 October 2001
8th	138*	Justin Kemp and Andrew Hall	South Africa	India	Cape Town	26 November 2006
9th	132	Angelo Mathews and Lasith Malinga	Sri Lanka	Australia	MCG , Sydney	3 November 2010
10th	106*	Viv Richards and Michael Holding	West Indies	England	Manchester	31 May 1984
