Draw	Artist	Song	Points	Place
1	Teens	"Miris ljubavi"	28	14
2	Kristina	"Da zora zna"	0	21
3	Alen Nižetić	"Samo ti"	23	16
4	Andy	"Samo nebo zna"	49	9
5	En Face	"Kad prestane kiša"	0	21
6	Giuliano	"Dobro mi došla ljubavi"	87	6
7	Josip Katalenić	"San"	106	4
8	Nikita	"Kraljica noći"	5	19
9	Magazin	"Kasno je"	105	5
10	Sanja Lukanović	"Jos jednom"	8	18
11	Turbo X	"Cijeli svijet je između nas"	0	21
12	Goran Karan	"Nisam te vrijedan"	122	3
13	Joy	"Uzalud"	11	17
14	Mandi	"Lako je reći zbogom"	2	20
15	Marina Tomašević	"Ja sam tvoja žena"	28	14
16	Đani Stipaničev	"Jos jedno jutro budi se"	38	12
17	Branka Bliznac	"Dajte ljubavi"	0	21
18	Zrinka	"Jednom u životu"	55	8
19	Zorana Šiljeg	"Nije te briga"	38	12
20	Renata Sabljak	"I kako sada ići dalje"	39	11
21	Doris Dragović	"Marija Magdalena"	207	1
22	Mladen Grdović	"Mama Marija"	74	7
23	Minea	"U ponoć pozvoni"	40	10
24	Petar Grašo	"Ljubav jedne žene"	153	2
