Team	Country	Home	Skip	Third	Second	Lead
Europe	Scotland / Sweden	Lockerbie	David Murdoch	Niklas Edin	Peter Smith	Euan Byers
Europe	Germany	Füssen	Andy Kapp	Andy Lang	Holger Höhne	Andreas Kempf
Europe	Switzerland	Baden - Dättwil	Andreas Schwaller	Ralph Stöckli	Thomas Lips	Damian Grichting
Europe	Denmark	Tårnby	Angelina Jensen	Madeleine Dupont	Denise Dupont	Camilla Jensen
Europe	Scotland	Stirling	Kelly Wood	Jackie Lockhart	Lorna Vevers	Lindsay Wood
Europe	Russia	Moscow	Liudmila Privivkova	Olga Jarkova	Nkeiruka Ezekh	Ekaterina Galkina
North America	Canada	Coldwater	Glenn Howard	Richard Hart	Brent Laing	Craig Savill
North America	Canada	Edmonton	David Nedohin	Randy Ferbey	Scott Pfeifer	Marcel Rocque
North America	United States	Mankato	Todd Birr	Bill Todhunter	Greg Johnson	Kevin Birr
North America	Canada	Kelowna	Kelly Scott	Jeanna Schraeder	Sasha Carter	Renee Simons
North America	Canada	Winnipeg	Jennifer Jones	Cathy Overton-Clapham	Jill Officer	Dawn Askin
North America	United States	Madison	Debbie McCormick	Allison Pottinger	Nicole Joraanstad	Natalie Nicholson
