Name	Years	Gender	Area	Authority	Decile	Roll
Conifer Grove School	1–8	Coed	Takanini	State	7	526
Cosgrove School	1–6	Coed	Papakura	State	2	606
Drury School	1–8	Coed	Drury	State	8	423
Edmund Hillary School	1–8	Coed	Papakura	State	1	146
Hingaia Peninsula School	1–8	Coed	Karaka	State	9	91
Kelvin Road School	1–6	Coed	Papakura	State	1	459
Kereru Park Campus	1–8	Coed	Papakura	State	1	76
Mansell Senior School	7–8	Coed	Papakura	State	1	149
Opaheke School	1–8	Coed	Papakura	State	5	605
Papakura Central School	1–6	Coed	Papakura	State	5	347
Papakura Normal School	1–8	Coed	Papakura	State	3	651
Park Estate School	1–6	Coed	Papakura	State	1	112
Redhill School	1–8	Coed	Papakura	State	1	199
Rosehill Intermediate	7–8	Coed	Papakura	State	4	368
St Mary's Catholic School	1–8	Coed	Papakura	State integrated	4	281
Takanini School	1–8	Coed	Takanini	State	1	442
