Constituency	Electorate	s Spoilt vote	Total poll (%)	For (%)	Against (%)	± Yes side 2008 (%)
Carlow–Kilkenny	104387	294	60,254 (58.0)	42,499 (70.5)	17,755 (29.5)	+20.5
Cavan–Monaghan	95270	221	56,041 (59.1)	34,740 (62.0)	21,301 (38.0)	+16.8
Clare	82292	222	46,605 (56.9)	33,707 (72.3)	12,898 (27.7)	+20.5
Cork East	84411	178	48,343 (57.5)	31,956 (66.1)	16,387 (33.9)	+23.1
Cork North–Central	65348	161	38,778 (59.6)	21,642 (55.8)	17,136 (44.2)	+20.2
Cork North–West	64759	153	39,191 (60.8)	27,249 (69.5)	11,942 (30.5)	+23.4
Cork South–Central	89655	183	53,914 (60.3)	36,040 (66.8)	17,874 (33.2)	+20.2
Cork South–West	58657	151	35,379 (60.6)	23,764 (67.2)	11,615 (32.8)	+22.8
Donegal North–East	56935	129	29,161 (51.4)	14,156 (48.5)	15,005 (51.5)	+13.2
Donegal South–West	60340	127	31,417 (52.3)	15,623 (49.7)	15,794 (50.3)	+13.1
Dublin Central	56451	147	29,941 (53.3)	18,545 (61.9)	11,396 (38.1)	+18.1
Dublin Mid–West	62651	104	34,859 (55.8)	21,435 (61.5)	13,424 (38.5)	+21.9
Dublin North	83251	193	50,866 (61.3)	36,971 (72.7)	13,895 (27.3)	+22.1
Dublin North–Central	50946	105	33,316 (65.6)	23,692 (71.1)	9,624 (28.9)	+20.5
Dublin North–East	52499	135	33,162 (63.4)	21,045 (63.5)	12,117 (36.5)	+20.3
Dublin North–West	49813	114	28,584 (57.6)	15,734 (55.0)	12,850 (45.0)	+18.6
Dublin South	98225	191	58,221 (59.5)	47,549 (81.7)	10,672 (18.3)	+18.8
Dublin South–Central	80756	214	44,596 (55.5)	25,854 (58.0)	18,742 (42.0)	+19.0
Dublin South–East	54794	127	29,843 (54.7)	23,478 (78.7)	6,365 (21.3)	+17.0
Dublin South–West	68497	140	39,370 (57.7)	23,192 (58.9)	16,178 (41.1)	+24.0
Dublin West	52649	63	31,281 (59.5)	21,429 (68.5)	9,852 (31.5)	+20.6
Dún Laoghaire	76503	160	56,568 (74.2)	45,917 (81.2)	10,651 (18.8)	+17.7
Galway East	80320	196	44,855 (56.1)	30,549 (68.1)	14,306 (31.9)	+21.2
Galway West	86538	178	46,732 (54.2)	31,000 (66.3)	15,732 (33.7)	+20.2
Kerry North	55511	146	30,736 (55.6)	19,543 (63.6)	11,193 (36.4)	+23.2
Kerry South	52023	135	30,262 (58.4)	20,092 (66.4)	10,170 (33.6)	+23.8
Kildare North	73606	160	42,014 (57.3)	32,012 (76.2)	10,002 (23.8)	+21.6
Kildare South	56177	98	30,959 (55.3)	21,568 (69.7)	9,373 (30.3)	+21.6
Laois–Offaly	107303	258	63,721 (59.6)	46,624 (73.2)	17,097 (26.8)	+17.2
Limerick East	73734	181	44,817 (61.0)	30,210 (67.4)	14,607 (32.6)	+21.4
Limerick West	58206	122	33,709 (58.1)	23,366 (69.3)	10,343 (30.7)	+24.7
Longford–Westmeath	88390	206	47,026 (53.4)	30,870 (65.6)	16,156 (34.4)	+19.3
Louth	84360	247	49,357 (58.8)	30,116 (61.0)	19,241 (39.0)	+19.1
Mayo	95466	204	55,188 (58.0)	34,056 (61.7)	21,132 (38.3)	+23.4
Meath East	68869	152	38,475 (56.1)	27,822 (72.3)	10,653 (27.7)	+21.4
Meath West	58585	132	35,607 (61.0)	23,103 (64.9)	12,504 (35.1)	+20.4
Roscommon–South Leitrim	59871	156	38,774 (65.0)	25,580 (66.0)	13,194 (34.0)	+20.4
Sligo–North Leitrim	56286	134	33,039 (58.9)	21,295 (64.5)	11,744 (35.5)	+21.2
Tipperary North	48446	144	36,614 (75.9)	25,768 (70.4)	10,846 (29.6)	+20.6
Tipperary South	61439	184	33,195 (54.3)	22,712 (68.4)	10,483 (31.6)	+21.6
Waterford	73589	223	44,860 (61.3)	30,744 (68.5)	14,116 (31.5)	+22.8
Wexford	103412	226	60,530 (58.8)	39,463 (65.2)	21,067 (34.8)	+21.2
