Screening Started	Screening Completed	Chapter Unfrozen	Chapter Opened	Chapter Closed
16 January 2006	24 February 2006	–	–	–
19 July 2006	11 September 2006	–	–	–
21 November 2005	20 December 2005	–	–	–
25 November 2005	22 December 2005	–	19 December 2008	–
7 November 2005	28 November 2005	–	–	–
21 June 2006	20 July 2006	–	17 June 2008	–
6 February 2006	3 March 2006	–	17 June 2008	–
8 November 2005	2 December 2005	–	–	–
29 March 2006	3 May 2006	–	–	–
12 June 2006	14 July 2006	–	19 December 2008	–
5 December 2005	26 January 2006	–	–	–
9 March 2006	28 April 2006	–	30 June 2010	–
24 February 2006	31 March 2006	–	–	–
26 June 2006	28 September 2006	–	–	–
15 May 2006	16 June 2006	–	–	–
6 June 2006	12 July 2006	–	30 June 2009	–
16 February 2006	23 March 2006	2013 (expected)	2013 (expected)	–
19 June 2006	18 July 2006	–	25 June 2007	–
8 February 2006	22 March 2006	–	2013 (expected)	–
27 March 2006	5 May 2006	–	29 March 2007	–
30 June 2006	29 September 2006	–	19 December 2007	–
11 September 2006	10 October 2006	12 February 2013	25 June 2013	–
7 September 2006	13 October 2006	2013 (expected)	2013 (expected)	–
23 January 2006	15 February 2006	–	–	–
20 October 2005	14 November 2005	–	12 June 2006	12 June 2006
26 October 2005	16 November 2005	–	–	–
3 April 2006	2 June 2006	–	21 December 2009	–
8 June 2006	11 July 2006	–	19 December 2007	–
31 January 2006	14 March 2006	–	–	–
10 July 2006	13 September 2006	–	–	–
14 September 2006	6 October 2006	–	–	–
18 May 2006	30 June 2006	–	26 July 2007	–
6 September 2006	4 October 2006	–	–	–
–	–	–	–	–
33 out of 33	33 out of 33	1 out of 17	14 out of 35	1 out of 35
