Rank	Name	Season	Club	Goals	Apps	Goals per Match
1	Lionel Messi	2011/12	Barcelona	50	37	1.351
2	Lionel Messi	2012/13	Barcelona	46	31	1.484
2	Cristiano Ronaldo	2011/12	Real Madrid	46	38	1.211
4	Cristiano Ronaldo	2010/11	Real Madrid	40	34	1.177
5	Telmo Zarra	1950/51	Athletic Bilbao	38	30	1.267
5	Hugo Sánchez	1989/90	Real Madrid	38	35	1.086
7	Baltazar	1988/89	Atlético Madrid	35	36	0.972
8	Cristiano Ronaldo	2012/13	Real Madrid	34	34	1.000
8	Lionel Messi	2009/10	Barcelona	34	35	0.971
8	Ronaldo	1996/97	Barcelona	34	37	0.919
8	Hugo Sánchez	1986/87	Real Madrid	34	41	0.829
12	Pruden	1940/41	Atlético Aviación	33	22	1.500
12	Telmo Zarra	1946/47	Athletic Bilbao	33	24	1.375
12	Toni Polster	1989/90	Sevilla	33	35	0.943
15	Diego Forlán	2008/09	Atlético Madrid	32	33	0.970
16	Alfredo di Stéfano	1956/57	Real Madrid	31	30	1.033
16	Lionel Messi	2010/11	Barcelona	31	33	0.939
16	Juan Antonio Pizzi	1995/96	Tenerife	31	41	0.756
