Rank	Player	Country	Weeks	Order	Majors
1	Tiger Woods Category:Articles with hCards *	United States	656	9	14
2	Greg Norman Category:Articles with hCards	Australia	331	3	2
3	Nick Faldo Category:Articles with hCards	England	97	4	6
4	Seve Ballesteros Category:Articles with hCards	Spain	61	2	5
5	Luke Donald Category:Articles with hCards	England	56	15	0
6	Ian Woosnam Category:Articles with hCards	Wales	50	5	1
7	Nick Price Category:Articles with hCards	Zimbabwe	44	7	3
8	Rory McIlroy Category:Articles with hCards	Northern Ireland	39	16	2
9	Vijay Singh Category:Articles with hCards	Fiji	32	12	3
10	Lee Westwood Category:Articles with hCards	England	22	13	0
11	Fred Couples Category:Articles with hCards	United States	16	6	1
12	David Duval Category:Articles with hCards	United States	15	11	1
13	Ernie Els Category:Articles with hCards	South Africa	9	10	4
14	Martin Kaymer Category:Articles with hCards	Germany	8	14	1
15	Bernhard Langer Category:Articles with hCards	West Germany	3	1	2
16	Tom Lehman Category:Articles with hCards	United States	1	8	1
