Date	Venue	Score	Result	Competition
1908-10-19	London , England	9-0	9-0	1908 Olympics
1908-10-22	London , England	1-0	17-1	1908 Olympics
1908-10-22	London , England	2-0	17-1	1908 Olympics
1908-10-22	London , England	3-0	17-1	1908 Olympics
1908-10-22	London , England	6-1	17-1	1908 Olympics
1908-10-22	London , England	7-1	17-1	1908 Olympics
1908-10-22	London , England	8-1	17-1	1908 Olympics
1908-10-22	London , England	9-1	17-1	1908 Olympics
1908-10-22	London , England	11-1	17-1	1908 Olympics
1908-10-22	London , England	12-1	17-1	1908 Olympics
1908-10-22	London , England	15-1	17-1	1908 Olympics
1912-06-30	Stockholm , Sweden	6-0	7-0	1912 Olympics
1912-06-30	Stockholm , Sweden	7-0	7-0	1912 Olympics
1914-05-17	Copenhagen , Denmark	3-3	4-3	Friendly match
1914-06-05	Copenhagen , Denmark	2-0	3-0	Friendly match
1917-06-03	Copenhagen , Denmark	1-1	1-1	Friendly match
