Place	Player	Country	Score	To par
T1	Terry Diehl	United States	69	–1
T1	Rod Funseth	United States	69	–1
T1	Hubert Green	United States	69	–1
T1	Grier Jones	United States	69	–1
T1	Florentino Molina	Argentina	69	–1
T1	Larry Nelson	United States	69	–1
T1	Tom Purtzer	United States	69	–1
T8	Sam Adams	United States	70	E
T8	George Burns	United States	70	E
T8	Al Geiberger	United States	70	E
T8	Morris Hatalsky	United States	70	E
T8	Joe Inman	United States	70	E
T8	Steve Melnyk	United States	70	E
T8	Mike Morley	United States	70	E
T8	Don Padgett	United States	70	E
T8	Arnold Palmer	United States	70	E
T8	Bob E. Smith	United States	70	E
