Pick #	Player	Nationality	Position	Team from	League from
62	Anders Nilsson	Sweden	G	Luleå HF	J20 SuperElit (Sweden)
63	Ben Hanowski	United States	RW	Little Falls, Minnesota High School	United States High School-Minnesota
64	Tyson Barrie	Canada	D	Kelowna Rockets	Western Hockey League
65	Joonas Nattinen	Finland	C	Espoo Blues	Jr. A SM-Liiga (Finland)
66	Brayden McNabb	Canada	D	Kootenay Ice	Western Hockey League
67	Josh Birkholz	United States	RW	Fargo Force	United States Hockey League
68	Jamie Devane	Canada	LW	Plymouth Whalers	Ontario Hockey League
69	Reilly Smith	Canada	RW	St. Michael's Buzzers	Ontario Junior Hockey League
70	Taylor Beck	Canada	LW	Guelph Storm	Ontario Hockey League
71	Troy Hesketh	United States	D	Minnetonka High School	United States High School-Minnesota
72	Michael Latta	Canada	C	Guelph Storm	Ontario Hockey League
73	Alexander Urbom	Sweden	D	Djurgårdens IF Stockholm	Elitserien (Sweden)
74	Ryan Howse	Canada	LW	Chilliwack Bruins	Western Hockey League
75	Andrej Nestrasil	Czech Republic	C/RW	Victoriaville Tigres	Quebec Major Junior Hockey League
76	Igor Bobkov	Russia	G	Metallurg Magnitogorsk	Russian Hockey First League
77	Matthew Hackett	Canada	G	Plymouth Whalers	Ontario Hockey League
78	Sergei Andronov	Russia	RW	Lada Togliatti	Kontinental Hockey League (Russia)
79	Mac Bennett	United States	D	Hotchkiss School	United States High School-Connecticut
80	Ryan Bourque	United States	C	U.S. National Team Development Program	United States Hockey League
81	Adam Morrison	Canada	G	Saskatoon Blades	Western Hockey League
82	Cameron Abney	Canada	RW	Everett Silvertips	Western Hockey League
83	Kevin Connauton	Canada	D	Western Michigan University	Central Collegiate Hockey Association
84	Nicolas Deslauriers	Canada	D	Rouyn-Noranda Huskies	Quebec Major Junior Hockey League
85	Cody Eakin	Canada	C	Swift Current Broncos	Western Hockey League
86	Ryan Button	Canada	D	Prince Albert Raiders	Western Hockey League
87	Simon Bertilsson	Sweden	D	Brynäs IF Gävle	J20 SuperElit (Sweden)
88	Mattias Lindstrom	Sweden	LW	Skellefteå AIK	J20 SuperElit (Sweden)
89	Daniel Delisle	United States	C/LW	Totino-Grace High School	United States High School-Minnesota
90	Gleason Fournier	Canada	D	Rimouski Océanic	Quebec Major Junior Hockey League
91	Michael Lee	United States	G	Fargo Force	United States Hockey League
