Player	Position	Height (m)	Weight (Kg)	Years
Allen Khoury*	Full Back	1.72	64	3
Bahig Saridar	Right Wing	1.80	92	2
Mohamad Jamil	Right Center	1.79	84	4
George Rahal	Left Center	1.78	89	4
Joe Serge Safa*	Left Wing	1.80	83	Rookie
Karim Jammal*	Stand Off	1.73	83	2
Jad El-Hashem*	Scrum Half	1.75	86	2
Abed Hammoud	Prop	1.86	111	3
Hani Rifai	Hooker	1.74	98	2
Nayef Abi Said	Prop	1.85	118	7
Rudy Hachach	Second Row	1.85	117	7
Ahmad Masri	Second Row	1.81	88	4
Robin Hachach (C)	Loose Forward	1.85	102	3
Freddy Beaini	Loose Forward	1.77	74	5
Darwish Nahouzi	Second Row	1.64	70	2
Ramez Ghandour*	Prop	1.76	95	Rookie
Hassan Shaheen	Wing	1.80	75	2
Ahmad Fadlalah	Second Row	1.80	87	2
Shawkat El Ghazi	Prop	1.76	95	Rookie
Kassem Abdo	Wing	1.75	82	Rookie
Alaa Khashab	Wing	1.80	65	Rookie
Hani Assi	Prop	1.82	94	Rookie
Khalil Namro	Second Row	1.88	94	Rookie
Abed Hammoud	Center	1.78	83	Rookie
Yves Khoury	Center	1.85	80	2
Kevin Haddad*	Wing	1.75	83	2
Walid Yassine	Center	1.87	75	Rookie
Rami Hawi	Second Row	1.84	85	Rookie
