Company	Parent company	Parent headquarters	Plant	Models produced	Production (latest figures)
AC Cars	AC Cars	United Kingdom	West Norwood	AC MKVI	n/a
Alexander Dennis	Alexander Dennis	United Kingdom	Falkirk	Enviro 200Dart , Enviro300 , Enviro400	n/a
Ariel	Ariel	United Kingdom	Crewkerne	Ariel Atom	n/a
Ascari Cars	Ascari Cars	United Kingdom	Banbury	Ascari Ecosse , Ascari A10	n/a
Briggs Automotive Company	Briggs Automotive Company	United Kingdom	Cheshire	BAC Mono	n/a
Bristol Cars	Bristol Cars	United Kingdom	Filton	Blenheim , Fighter , Blenheim Speedster	n/a
Caterham Cars	Caterham Cars	United Kingdom	Dartford	R400 , CSR260	435 (2003)
Dennis Eagle	Ros Roca	Spain	Warwick	Duo, One Pass, Beta 2	n/a
Ford of Britain	Ford Motor Company	United States	Southampton	Transit	75,662 (2007)
Ginetta Cars	LNT Automotive	United Kingdom	Leeds	G40 , G40J , G40R , G50 , G55 , G55 GT3 , G60	n/a
Honda of the UK Manufacturing	Honda Motor Company	Japan	Swindon	CR-V , Jazz , Civic	237,783 (2007)
Jaguar Land Rover	Tata Motors	India	Castle Bromwich	XF , XJ , XK F-Type	54,030 (Includes Halewood production)
Jaguar Land Rover	Tata Motors	India	Halewood	Land Rover Freelander 2 , Range Rover Evoque	see JLR Castle Bromwich and Solihull
Leyland Trucks	Paccar	United States	Leyland	DAF CF , DAF LF , DAF XF	17,478
LTI	Manganese Bronze Holdings	United Kingdom	Coventry	TX4	2,346 (2003)
Lotus Cars	Proton Holding	Malaysia	Hethel	Elise , Exige , Lotus Evora	2,935 (Lotus + GM)
McLaren Automotive	McLaren Group	United Kingdom	Woking	MP4-12C	4,000
MG Motor	SAIC Motor	China	Longbridge	MG 6	n/a
Morgan Motor Company	Morgan Motor Company	United Kingdom	Malvern	Morgan Aero 8 , Morgan Plus 4	1000 (2003)
Nissan UK	Nissan Motor Company	Japan	Sunderland	Juke , Note , Qashqai	480,485
Noble Automotive	Noble Automotive	United Kingdom	Barwell	Noble M12 , Noble M14	n/a
Optare	Optare Group	United Kingdom	Leeds	Solo , Alero	n/a
Plaxton	Alexander Dennis	United Kingdom	Scarborough	Panther , Paragon , Profile , Primo , Centro	n/a
Plaxton	Alexander Dennis	United Kingdom	Sheffield	Cheetah , Pronto , Beaver	n/a
Toyota Manufacturing UK	Toyota Motor Corporation	Japan	Burnaston	Avensis , Auris	277,637 (2007)
TVR Motor Company	TVR Motor Company	United Kingdom	Blackpool	Sagaris , Tuscan , T350 , Tamora	871 (2003)
Wrightbus	Wrightbus	United Kingdom	Ballymena	Wright Eclipse , Wright Solar , Wright Pulsar	n/a
