Tournament	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	2R	2R	1R	QF	1R	3R	1R	1R	W	3R	A
French Open	2R	2R	F	2R	1R	1R	3R	4R	1R	2R	A
Wimbledon	1R	1R	2R	4R	2R	4R	A	4R	QF	Q2	A
US Open	2R	1R	1R	1R	A	QF	3R	QF	1R	A	A
Win–Loss	3–4	2–4	7–4	8–4	1–3	9–4	4–3	9–4	11–3	3–2	0–0
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	1R	3R	QF	F	2R	1R	A	QF	1R	A
Miami	2R	2R	3R	SF	QF	2R	4R	2R	4R	1R	A
Monte Carlo	2R	A	2R	3R	2R	1R	3R	A	QF	A	A
Rome	1R	A	SF	A	A	1R	2R	A	1R	A	A
Hamburg	1R	A	2R	A	3R	2R	A	A	A	A	A
Canada	2R	F	QF	SF	2R	2R	3R	1R	2R	A	A
Cincinnati	1R	2R	QF	2R	2R	2R	2R	2R	QF	A	A
Madrid (Stuttgart)	3R	QF	QF	QF	1R	A	A	W	2R	A	A
Paris	1R	QF	2R	3R	QF	A	SF	3R	2R	A	A
Win–Loss	3–8	11–6	12–9	13–7	14–8	4–7	13–7	7–4	8–8	0–2	0–0
Ranking	38	9	7	12	18	41	24	13	13	DQ	1332
