Player	Height	Position	Year born (Age)	Current Club
Peter John Ramos	2.22	C	May 23, 1985 (age28)	Criollos de Caguas
José Juan Barea	1.83	PG	June 26, 1984 (age29)	Dallas Mavericks
Filiberto Rivera	1.87	PG	September 28, 1982 (age31)	AEK Athens
Carlos Arroyo	1.88	PG	July 30, 1979 (age34)	Orlando Magic
Joel Jones	1.98	G	July 17, 1981 (age32)	Ponce Lions
Alex Falcón	2.00	SF/PF	November 20, 1973 (age40)	Santurce Crabbers
Larry Ayuso	1.90	SG	March 27, 1977 (age36)	Cibona Zagreb
Ricardo Sanchez	2.12	C	July 6, 1987 (age26)	Idaho Stampede
Javier Mojica	1.86	G	August 31, 1984 (age29)	Fajardo Cariduros
Luis Villalfañe	2.08	C	June 21, 1981 (age32)	Gigantes de Carolina
Carmelo Antrone Lee	2.00	SF	June 7, 1977 (age36)	Guaynabo Conquistadores
Daniel Santiago	2.16	C	June 24, 1976 (age37)	Unicaja Malaga
