Year	Music video	Length	Album	Official MV on YouTube
2003	I Remember	4:00	Map of the Human Soul	CJENMMUSIC
2004	혼자라도 (Feat. Clazziquai )	4:12	High Society	CJENMMUSIC
2004	평화의 날 (Day of Peace)	3:50	High Society	CJENMMUSIC
2007	Fan	4:25	Remapping the Human Soul	CJENMMUSIC
2007	Love Love Love	3:50	Remapping the Human Soul	CJENMMUSIC
2008	One (Feat. Jeesun)	4:10	Pieces, Part One	CJENMMUSIC
2008	Umbrella (Feat. Younha ) (우산)	5:10	Pieces, Part One	CJENMMUSIC
2008	Breakdown	3:49	Pieces, Part One	CJENMMUSIC
2009	Map The Soul (Feat. MYK)	3:55	Map the Soul	CJENMMUSIC
2009	One Minute One Second (Feat. Taru) (1분 1초)	4:46	Remixing the Human Soul	CJENMMUSIC
2012	Don't Hate Me	5:30	99	OfficialEpikHigh
2012	Up (Feat. Park Bom )	3:51	99	OfficialEpikHigh
