Place	Player	Country	Score	To par
1	John Huston	United States	67	−5
2	Paul Stankowski	United States	68	−4
3	Paul Azinger	United States	69	−3
4	Tiger Woods	United States	70	−2
T5	Costantino Rocca	Italy	71	−1
T5	José María Olazábal	Spain	71	−1
T5	Nick Price	Zimbabwe	71	−1
T8	Stuart Appleby	Australia	72	E
T8	David Berganio, Jr.	United States	72	E
T8	Fred Couples	United States	72	E
T8	Lee Janzen	United States	72	E
T8	Per-Ulrik Johansson	Sweden	72	E
T8	Bernhard Langer	Germany	72	E
T8	Davis Love III	United States	72	E
T8	Colin Montgomerie	Scotland	72	E
T8	Tommy Tolles	United States	72	E
T8	Willie Wood	United States	72	E
