Round	Grand Prix	Date	Location	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	South African Grand Prix	14 March	Kyalami	Alain Prost	Alain Prost	Alain Prost	Williams - Renault	Report
2	Brazilian Grand Prix	28 March	São Paulo	Alain Prost	Michael Schumacher	Ayrton Senna	McLaren - Ford	Report
3	European Grand Prix	11 April	Donington	Alain Prost	Ayrton Senna	Ayrton Senna	McLaren - Ford	Report
4	San Marino Grand Prix	25 April	Imola	Alain Prost	Alain Prost	Alain Prost	Williams - Renault	Report
5	Spanish Grand Prix	9 May	Barcelona	Alain Prost	Michael Schumacher	Alain Prost	Williams - Renault	Report
6	Monaco Grand Prix	23 May	Monaco	Alain Prost	Alain Prost	Ayrton Senna	McLaren - Ford	Report
7	Canadian Grand Prix	13 June	Circuit Gilles Villeneuve	Alain Prost	Michael Schumacher	Alain Prost	Williams - Renault	Report
8	French Grand Prix	4 July	Magny-Cours	Damon Hill	Michael Schumacher	Alain Prost	Williams - Renault	Report
9	British Grand Prix	11 July	Silverstone	Alain Prost	Damon Hill	Alain Prost	Williams - Renault	Report
10	German Grand Prix	25 July	Hockenheimring	Alain Prost	Michael Schumacher	Alain Prost	Williams - Renault	Report
11	Hungarian Grand Prix	15 August	Hungaroring	Alain Prost	Alain Prost	Damon Hill	Williams - Renault	Report
12	Belgian Grand Prix	29 August	Spa-Francorchamps	Alain Prost	Alain Prost	Damon Hill	Williams - Renault	Report
13	Italian Grand Prix	12 September	Monza	Alain Prost	Damon Hill	Damon Hill	Williams - Renault	Report
14	Portuguese Grand Prix	26 September	Estoril	Damon Hill	Damon Hill	Michael Schumacher	Benetton - Ford	Report
15	Japanese Grand Prix	24 October	Suzuka	Alain Prost	Alain Prost	Ayrton Senna	McLaren - Ford	Report
16	Australian Grand Prix	7 November	Adelaide	Ayrton Senna	Damon Hill	Ayrton Senna	McLaren - Ford	Report
