Pick	Player	Position	Nationality	NHL team	College/junior/club team
209.	Libor Zabransky	Defence	Czech Republic	St. Louis Blues	HC České Budějovice (Czech Republic)
210.	David Macdonald	Goaltender	Canada	New York Islanders	Sudbury Wolves (OHL)
211.	Mike Broda	Left Wing	Canada	New York Islanders	Moose Jaw Warriors (WHL)
212.	Zac Bierk	Goaltender	Canada	Tampa Bay Lightning	Peterborough Petes (OHL)
213.	Jiri Antonin	Defence	Czech Republic	Edmonton Oilers	Pardubice HC (Czech Republic)
214.	Rob Deciantis	Centre	Canada	Winnipeg Jets	Kitchener Rangers (OHL)
215.	Brian Stewart	Defence	Canada	Los Angeles Kings	Sault Ste. Marie Greyhounds (OHL)
216.	Eric Houde	Centre	Canada	Montreal Canadiens	Halifax Mooseheads (QMJHL)
217.	Mike Rucinski	Defence	United States	Hartford Whalers	Detroit Jr. Red Wings (OHL)
218.	David Lemanowicz	Goaltender	Canada	Florida Panthers	Spokane Chiefs (WHL)
219.	Stephen Lowe	Centre	Canada	Dallas Stars	Sault Ste. Marie Greyhounds (OHL)
220.	Mikko Markkanen	Right Wing	Finland	San Jose Sharks	TPS Turku Jrs. (Finland)
221.	Bob Maudie	Centre	Canada	New York Rangers	Kamloops Blazers (WHL)
222.	Jason Cugnet	Goaltender	Canada	Vancouver Canucks	Kelowna Spartans (BCJHL)
223.	Daniil Markov	Defence	Russia	Toronto Maple Leafs	Moscow Spartak (Russia)
224.	Rob Skrlac	Left Wing	Canada	Buffalo Sabres	Kamloops Blazers (WHL)
225.	Scott Swanson	Defence	United States	Washington Capitals	Omaha Lancers (USHL)
226.	Colin O'Hara	Defence	Canada	New Jersey Devils	Winnipeg Blues ( MJHL )
227.	Mike Pittman	Centre	Canada	Chicago Blackhawks	Guelph Storm (OHL)
228.	Chris George	Right Wing	Canada	Colorado Avalanche	Sarnia Sting (OHL)
229.	Jonathan Murphy	Defence	Canada	Boston Bruins	Peterborough Petes (OHL)
230.	Jeff Lank	Defence	Canada	Philadelphia Flyers	Prince Albert Raiders (WHL)
231.	Erik Kaminski	Centre	United States	Ottawa Senators	Cleveland Jr. Barons (NAHL)
232.	Frank Ivankovic	Goaltender	Canada	Pittsburgh Penguins	Oshawa Generals (OHL)
233.	Steve Shirreffs	Defence	United States	Calgary Flames	Hotchkiss School (USHS-CT)
