Rank	Country/Territory	Mister World	1st runner-up	2nd runner-up	3rd runner-up	4th runner-up	Semifinalists	Total
1	Brazil	1	1	0	0	0	2	4
2	Belgium	1	0	1	0	0	2	4
3	Ireland	1	0	1	0	0	0	2
4	Venezuela	1	0	0	0	0	3	4
5	Spain	1	0	0	0	0	1	2
6	Colombia	1	0	0	0	0	0	1
6	Uruguay	1	0	0	0	0	0	1
8	Lebanon	0	1	0	1	0	3	5
9	Mexico	0	1	0	1	0	2	4
10	Puerto Rico	0	1	0	0	0	2	3
11	Germany	0	1	0	0	0	1	2
12	Czech Republic	0	1	0	0	0	0	1
12	Philippines	0	1	0	0	0	0	1
14	China	0	0	1	0	0	1	2
14	Nigeria	0	0	1	0	0	1	2
14	USA	0	0	1	0	0	1	2
17	France	0	0	1	0	0	0	1
17	Turkey	0	0	1	0	0	0	1
19	Costa Rica	0	0	0	1	0	0	1
20	Barbados	0	0	0	0	1	0	1
20	Chile	0	0	0	0	1	0	1
22	India	0	0	0	0	0	3	3
23	Aruba	0	0	0	0	0	2	2
23	Croatia	0	0	0	0	0	2	2
23	Jamaica	0	0	0	0	0	2	2
23	United Kingdom	0	0	0	0	0	2	2
27	Argentina	0	0	0	0	0	1	1
27	Australia	0	0	0	0	0	1	1
27	Austria	0	0	0	0	0	1	1
27	Bahamas	0	0	0	0	0	1	1
27	Canada	0	0	0	0	0	1	1
27	England	0	0	0	0	0	1	1
27	Greece	0	0	0	0	0	1	1
27	Guadeloupe	0	0	0	0	0	1	1
27	Korea	0	0	0	0	0	1	1
27	Latvia	0	0	0	0	0	1	1
27	Malta	0	0	0	0	0	1	1
27	Netherlands	0	0	0	0	0	1	1
27	Northern Ireland	0	0	0	0	0	1	1
27	Norway	0	0	0	0	0	1	1
27	Peru	0	0	0	0	0	1	1
27	Singapore	0	0	0	0	0	1	1
27	South Africa	0	0	0	0	0	1	1
27	Sweden	0	0	0	0	0	1	1
27	Thailand	0	0	0	0	0	1	1
27	Ukraine	0	0	0	0	0	1	1
27	Vietnam	0	0	0	0	0	1	1
27	Wales	0	0	0	0	0	1	1
