Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Brynmawr RFC	22	21	0	1	650	167	90	21	12	1	97
Abergavenny RFC	22	19	0	3	678	255	100	31	11	1	88
Garndiffaith RFC	22	15	0	7	571	470	82	60	10	2	72
Croesyceiliog RFC	22	13	1	8	515	322	76	45	10	3	67
Blaina RFC	22	12	1	9	450	363	66	44	6	4	60
Pontypool United RFC	22	11	0	11	500	334	60	41	6	5	55
Cwmbran RFC	22	10	1	11	369	344	45	45	3	4	49
Rhymney RFC	22	9	1	12	409	450	52	63	7	3	48
Nelson RFC	22	7	0	15	416	437	59	54	3	5	36
New Tredegar RFC	22	6	0	16	342	542	50	77	5	3	32
Senghenydd RFC	22	3	1	18	293	749	35	114	1	2	17
Pontllanfraith RFC	22	3	1	18	163	923	19	139	0	2	16
