Wager	Winner	Loser	Location	Date
Hair	Vampiro	Bestia Negra II	Xochimilco , Mexico City	March 21, 1992
Hair	Vampiro	Rick Patterson	Monterrey , Nuevo León	June 28, 1992
Hair	Vampiro	Pirata Morgan	Mexico City	July 17, 1992
Hair	Vampiro	Aaron Grundy	Monterrey, Nuevo León	August 23, 1992
Hair	Vampiro	Sangre Chicana	Monterrey, Nuevo León	December 10, 1992
Hair	Vampiro	Pirata Morgan	Houston , Texas	September 1, 1998
Hair	Vampiro	Rey Bucanero	Mexico City	December 13, 2002
Hair	Shocker	Vampiro	Mexico City	April 4, 2003
Hair	Cien Caras and Máscara Año 2000	Vampiro and Pierroth, Jr.	Mexico City	December 17, 2004
Hair	Chessman	Vampiro	Zapopan, Jalisco	December 2, 2012
