Network	Origin of Programming	Language	Genre	Service
Colors	India	Hindi	General	Vision Asia
KTV	India	Tamil	Movies	Vision Asia
Life OK	India	Hindi	General	Vision Asia
MTV India	India	Hindi	Music	Vision Asia
NDTV India	India	Hindi	News	Vision Asia
PTC Punjabi	India	Punjabi	General	Vision Asia
Raj TV	India	Tamil	General	Vision Asia
SAB	India	Hindi	General	Vision Asia
SET Max	India	Hindi	Movies	Vision Asia
Sony Entertainment Television Asia	India	Hindi	General	Vision Asia
STAR Gold	India	Hindi	Movies	Vision Asia
STAR Plus	India	Hindi	General	Vision Asia
Times Now	India	English	News	Vision Asia
Vijay	India	Tamil	General	Vision Asia
Zee TV	India	Hindi	General	Vision Asia
Zoom	India	Hindi	Movies	Vision Asia
