Date	Cover model	Centerfold model	Interview subject	20 Questions	Pictorials
2-04	Jaime Pressly	Aliya Wolf	Kiefer Sutherland	Dave Matthews	Jaime Pressly, the Year in Sex 2004
3-04	Rena Mero , Torrie Wilson (two alternative covers)	Sandra Hubby	Jim Carrey	William Petersen	Rena Mero, Torrie Wilson, Cyber Girls
4-04	Rachel Hunter	Krista Kelly	50 Cent	Kevin Smith	Rachel Hunter, World's Sexiest DJs
5-04	Pamela Anderson	Nicole Whitehead	Johnny Depp	Matthew Perry	Pamela Anderson, Helmut Newton tribute
6-04	Charisma Carpenter	Hiromi Oshima	Derek Jeter	Jude Law	Charisma Carpenter, PMOY Carmella DeCesare
7-04	Peta Wilson	Stephanie Glasson	Michael Moore	Christina Applegate	Peta Wilson, Swingers
8-04	Eva Herzigova	Pilar Lastra	Matt Damon	Spike Lee	Eva Herzigova, 10 sexiest s bartender
9-04	Amy Acuff	Scarlett Keegan	Sergey Brin & Larry Page	Terrel Owens	Women of the Olympics , Painted Ladies
10-04	Evelyn Gery	Kimberly Holland	Donald Trump	Jimmy Fallon	Girls of the ACC , Raelism girls
11-04	Brooke Burke	Cara Zavaleta	Oliver Stone	John Carmack	Brooke Burke, Kari Ann Peniche
