Role	Original Broadway cast	Closing Broadway cast	Original US Tour cast	Original NonEquity Tour cast	Original São Paulo cast	Original Lima cast
Gomez Addams	Nathan Lane	Roger Rees	Douglas Sills	Jesse Sharp	Daniel Boaventura	Diego Bertie
Morticia Addams	Bebe Neuwirth	Brooke Shields	Sara Gettelfinger	Keleen Snowgren	Marisa Orth	Fiorella Rodriguez
Uncle Fester	Kevin Chamberlin	Brad Oscar	Blake Hammond	Shaun Rice	Claudio Galvan	Nicolás Fantinato
Grandma Addams	Jackie Hoffman	Jackie Hoffman	Pippa Pearthree	Amanda Bruton	Iná de Carvalho	Patricia Portocarrero
Wednesday Addams	Krysta Rodriguez	Rachel Potter	Cortney Wolfson	Jennifer Fogarty	Laura Lobo	Gina Yangali
Pugsley Addams	Adam Riegler	Adam Riegler	Patrick D. Kennedy	Sam Primack	Nicholas Torres, Gustavo Daneluz, Matheus Lustosa	Giuseppino Castellano, Brando Gallesi
Lurch	Zachary James	Zachary James	Tom Corbeil	Dan Olson	Rogério Guedes	Gustavo Mayer
Mal Beineke	Terrence Mann	Adam Grupper	Martin Vidnovic	Mark Poppleton	Wellington Nogueira	Miguel Alvarez
Alice Beineke	Carolee Carmello	Heidi Blickenstaff	Crista Moore	Blair Anderson	Paula Capovilla	Trilce Cavero
Lucas Beineke	Wesley Taylor	Jesse Swenson	Brian Justin Crum	Bryan Welnicki	Beto Sargentelli	Luis Baca
