Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	29 April 1985	Taranto	Clay	Raffaella Reggi	Patrizia Murgo Barbara Romanò	1–6, 6–4, 6–3
Runner-up	4 November 1985	Hilversum	Carpet (I)	Sabrina Goleš	Marcella Mesker Catherine Tanvier	2–6, 2–6
Winner	21 April 1986	Charleston	Clay	Sabrina Goleš	Laura Gildemeister Marcela Skuherská	4–6, 6–0, 6–3
Runner-up	6 July 1987	Båstad	Clay	Patricia Tarabini	Penny Barg Tine Scheuer-Larsen	1–6, 2–6
Runner-up	28 September 1987	Paris	Clay	Sabrina Goleš	Isabelle Demongeot Nathalie Tauziat	6–1, 3–6, 3–6
Winner	4 July 1988	Båstad	Clay	Mercedes Paz	Linda Ferrando Silvia La Fratta	6–0, 6–2
Runner-up	18 July 1988	Aix-en-Provence	Clay	Arantxa Sánchez	Nathalie Herreman Catherine Tanvier	4–6, 5–7
Winner	10 July 1989	Arcachon	Clay	Patricia Tarabini	Mercedes Paz Brenda Schultz	6–3, 7–6 (7–5)
Winner	11 September 1989	Athens	Clay	Patricia Tarabini	Silke Meier Elena Pampoulova	4–6, 6–4, 6–2
Winner	18 September 1989	Paris	Clay	Patricia Tarabini	Nathalie Herreman Catherine Suire	6–1, 6–1
Runner-up	16 April 1990	Tampa	Clay	Laura Gildemeister	Mercedes Paz Arantxa Sánchez Vicario	2–6, 0–6
Winner	16 July 1990	Estoril	Clay	Patricia Tarabini	Carin Bakkum Nicole Jagerman	1–6, 6–2, 6–3
Runner-up	10 September 1990	Kitzbühel	Clay	Patricia Tarabini	Petra Langrová Radomira Zrubáková	0–6, 4–6
Runner-up	22 April 1991	Bol	Clay	Laura Garrone	Laura Golarsa Magdalena Maleeva	w/o
Runner-up	15 July 1991	Kitzbühel	Clay	Patricia Tarabini	Bettina Fulco Nicole Jagerman	5–7, 4–6
Runner-up	20 July 1992	San Marino	Clay	Laura Garrone	Alexia Dechaume Florencia Labat	6–7 (6–8) , 5–7
Winner	14 September 1992	Paris	Clay	Patricia Tarabini	Rachel McQuillan Noëlle van Lottum	7–5, 6–1
Winner	26 July 1993	San Marino	Clay	Patricia Tarabini	Florencia Labat Barbara Rittner	6–3, 6–2
Runner-up	18 October 1993	Budapest	Carpet (I)	Patricia Tarabini	Inés Gorrochategui Caroline Vis	1–6, 3–6
Runner-up	25 April 1994	Taranto	Clay	Isabelle Demongeot	Irina Spîrlea Noëlle van Lottum	3–6, 6–2, 1–6
Winner	25 July 1994	Styria	Clay	Patricia Tarabini	Alexandra Fusai Karina Habšudová	7–5, 7–5
Winner	11 September 1995	Warsaw	Clay	Laura Garrone	Henrieta Nagyová Denisa Szabová	5–7, 6–2, 6–3
