Tie no	Home team	Score	Away team	Attendance
1	Blackpool	3 – 0	Tamworth	4,796
2	Darlington	3 – 3	Yeovil Town	3,698
replay	Yeovil Town	1 – 0	Darlington	5,365
3	Barnet	1 – 2	Bath City	2,147
4	Bristol City	1 – 1	Brentford	10,000
replay	Brentford	1 – 1	Bristol City	3,706
Brentford won on penalties	Brentford won on penalties	Brentford won on penalties	Brentford won on penalties	Brentford won on penalties
5	Bury	5 – 2	Vauxhall Motors	2,566
6	Histon	2 – 0	Shrewsbury Town	2,843
7	Rochdale	2 – 1	Oxford United	2,333
8	Notts County	2 – 1	Woking	4,562
9	Stafford Rangers	0 – 2	Chester City	2,492
10	Swindon Town	4 – 1	Sheffield Wednesday	6,160
11	Stockport County	3 – 1	Huddersfield Town	3,479
12	Wycombe Wanderers	1 – 0	Coalville Town	2,816
13	Bristol Rovers	1 – 1	Carlisle	5,658
replay	Carlisle United	1 – 0	Bristol Rovers	4,813
14	Northampton Town	1 – 0	Barnsley	4,876
15	Bradford City	0 – 1	Rushden & Diamonds	4,171
16	Hull City	3 – 2	Morecambe	10,129
17	Southend United	0 – 3	Luton Town	6,683
18	Exeter City	1 – 0	Grimsby Town	3,378
19	Scunthorpe United	2 – 0	Chesterfield	4,869
20	Mansfield Town	1 – 1	Colchester United	3,202
replay	Colchester United	4 – 1	Mansfield Town	2,492
21	Alfreton Town	1 – 1	Macclesfield Town	2,251
replay	Macclesfield Town	2 – 0	Alfreton Town	1,783
22	Port Vale	3 – 1	Kidderminster Harriers	4,141
23	Halifax Town	3 – 1	Cambridge United	2,368
24	Cheltenham Town	1 – 3	Swansea City	4,551
25	Southport	1 – 3	Hereford United	2,045
26	Hayes	0 – 4	Wrexham	1,751
27	Tiverton Town	1 – 3	Doncaster Rovers	1,618
28	Boston United	5 – 2	Hornchurch	2,437
29	Peterborough United	2 – 1	Tranmere Rovers	2,940
30	Leyton Orient	3 – 1	Dagenham & Redbridge	4,155
31	Slough Town	2 – 1	Walsall	2,023
32	Cambridge City	2 – 1	Leigh RMI	930
33	Forest Green Rovers	1 – 1	Bournemouth	1,837
replay	Bournemouth	3 – 1	Forest Green Rovers	5,489
34	Hartlepool United	3 – 0	Lincoln City	4,533
35	Billericay Town	0 – 1	Stevenage Borough	1,804
36	Yeading	2 – 1	Halesowen Town	524
37	Aldershot Town	4 – 0	Canvey Island	2,600
38	Hinckley United	2 – 0	Torquay United	2,129
39	Thurrock	0 – 1	Oldham Athletic	1,156
40	Milton Keynes Dons	1 – 0	Lancaster City	2,065
