Name	Height	Weight	Spike	2008 club
Wang Yimei Category:Articles with hCards	m ()	kg (lb)	cm (in)	Liaoning
Feng Kun Category:Articles with hCards	m ()	kg (lb)	cm (in)	Beijing
Yang Hao Category:Articles with hCards	m ()	kg (lb)	cm (in)	Liaoning
Liu Yanan Category:Articles with hCards	m ()	kg (lb)	cm (in)	Liaoning
Wei Qiuyue Category:Articles with hCards	m ()	kg (lb)	cm (in)	Tianjin
Xu Yunli Category:Articles with hCards	m ()	kg (lb)	cm (in)	Fujian
Zhou Suhong Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zhejiang
Zhao Ruirui Category:Articles with hCards	m ()	kg (lb)	cm (in)	Army
Xue Ming Category:Articles with hCards	m ()	kg (lb)	cm (in)	Beijing
Li Juan Category:Articles with hCards	m ()	kg (lb)	cm (in)	Tianjin
Zhang Na Category:Articles with hCards	m ()	kg (lb)	cm (in)	Tianjin
Ma Yunwen Category:Articles with hCards	m ()	kg (lb)	cm (in)	Shanghai
