Swedish title	Norwegian title	Translated title	Published	Pages	ISBN
Skogen bortom dagen	Skogen bortenfor dagen	The Forest Beyond the Day	10/2005	219	ISBN 91-7713-250-5
Sandhammaren	Sandhammaren	The Sand Hammer	12/2005	219	ISBN 91-7713-241-6
Där vinden får vila	Der vinden får hvile	Where the Wind Rests	2/2006	218	ISBN 91-7713-242-4
Blind måne	Blind måne	Blind Moon	4/2006	218	ISBN 91-7713-243-2
Månehäxan	Måneheksen	The Moon Witch	6/2006	219	ISBN 91-7713-244-0
Svartalver	Svartalver	Dark Fairies	9/2006	220	ISBN 91-7713-245-9
Den blå jorden	Den blå jorden	The Blue Earth	12/2006	219	ISBN 91-7713-246-7
Stenvargen	Steinulven	The Stone Wolf	2/2007	218	ISBN 91-7713-247-5
Den glömda	Den de glemte	The One They Forgot	5/2007	216	ISBN 91-7713-248-3
Eko från urtiden	Kom nærmere	Echo of Eternity	8/2007	219	ISBN 91-7713-249-1
Dagen gryr	Dagen gryr	Breaking Dawn	11/2007	218	ISBN 91-7713-257-2
