Date	Venue	Result	Competition	Scored
26 March 1985	Wembley Stadium	2–1	Friendly	1
16 June 1985	Los Angeles Memorial Coliseum	5–0	Friendly	2
16 October 1985	Wembley Stadium	5–0	1986 World Cup qualifier	3
11 June 1986	Estadio Tecnológico , Monterrey	3–0	1986 World Cup	3
18 June 1986	Estadio Azteca , Mexico City	3–0	1986 World Cup	2
22 June 1986	Estadio Azteca , Mexico City	1–2	1986 World Cup	1
15 October 1986	Wembley Stadium	3–0	Euro 1988 qualifier	2
18 February 1987	Santiago Bernabéu , Madrid	4–2	Friendly	4
19 May 1987	Wembley Stadium	1–1	Friendly ( Rous Cup )	1
9 September 1987	Rheinstadion , Düsseldorf	1–3	Friendly	1
14 October 1987	Wembley Stadium	8–0	Euro 1988 qualifier	3
24 May 1988	Wembley Stadium	1–1	Friendly ( Rous Cup )	1
23 March 1988	Wembley Stadium	2–2	Friendly	1
28 May 1988	Stade Olympique de la Pontaise , Lausanne	1–0	Friendly	1
26 April 1989	Wembley Stadium	5–0	1990 World Cup qualifier	1
3 June 1989	Wembley Stadium	3–0	1990 World Cup qualifier	1
7 July 1989	Parken Stadium , Copenhagen	1–1	Friendly	1
28 March 1990	Wembley Stadium	1–0	Friendly	1
15 May 1990	Wembley Stadium	1–0	Friendly	1
11 June 1990	Stadio Sant'Elia , Cagliari	1–1	1990 World Cup	1
1 July 1990	Stadio San Paolo , Naples	3–2	1990 World Cup	2
4 July 1990	Stadio delle Alpi , Turin	1 – 1p	1990 World Cup	1
22 September 1990	Wembley Stadium	1–0	Friendly	1
17 October 1990	Wembley Stadium	2–0	Euro 1992 qualifier	1
6 February 1991	Wembley Stadium	2–0	Friendly	2
26 July 1991	Wembley Stadium	2–2	Friendly ( England Challenge Cup )	1
3 June 1991	Mt Smart Stadium , Auckland	1–0	Friendly	1
12 June 1991	Stadium Merdeka , Kuala Lumpur	4–2	Friendly	4
13 November 1991	Stadion Miejski , Poznań	1–1	Euro 1992 qualifier	1
19 February 1992	Wembley Stadium	2–0	Friendly	1
29 April 1992	Luzhniki Stadium , Moscow	2–2	Friendly	1
