No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
21	1	"The Drake & Josh Inn"	Adam Weissman	Jake Farrow	April2,2005	305
22	2	"Peruvian Puff Pepper"	Steve Hoefer	Steve Holland	April9,2005	301
23	3	"We're Married?"	Steve Hoefer	George Doty IV	April16,2005	302
24	4	"Mindy's Back"	Adam Weissman	Eric Friedman	April30,2005	303
25	5	"The Affair"	Adam Weissman	Anthony Del Broccolo	May21,2005	304
26	6	"Playing the Field"	Roger Christiansen	Dan Schneider	June4,2005	306
27	7	"Helen's Surgery"	Adam Weissman	George Doty IV	June11,2005	307
28	8	"Paging Dr. Drake"	Steve Hoefer	Anthony Del Broccolo	October1,2005	309
29	9	"Foam Finger"	Roger Christiansen	Dan Schneider	October8,2005	308
30	10	"Girl Power"	Steve Hoefer	Jake Farrow	October15,2005	311
31	11	"Sheep Thrills"	Steve Hoefer	Eric Friedman	October22,2005	310
35	15	"Megan's New Teacher"	Adam Weissman	George Doty IV	January28,2006	313
36	16	"Little Sibling"	Steve Hoefer	Dan Schneider	February4,2006	312
37	17	"Theater Thug"	Roger Christiansen	Dan Schneider	February18,2006	314
38	18	"The Demonator"	Steve Hoefer	Anthony Del Broccolo & Eric Friedman	February25,2006	315
39	19	"Alien Invasion"	Will Bardelli	Steve Holland	March18,2006	316
