Date	Internet Explorer	Firefox	Safari	Opera
October 2013	27.8%	16.0%	13.1%	2.3%
September 2013	25.2%	16.8%	14.3%	2.4%
August 2013	24.0%	17.8%	14.2%	2.4%
July 2013	22.2%	18.5%	14.7%	2.3%
June 2013	21.7%	19.5%	15.4%	2.2%
May 2013	22.0%	19.2%	14.8%	2.2%
April 2013	23.1%	20.7%	15.1%	2.3%
March 2013	24.6%	19.3%	16.3%	2.3%
February 2013	26.6%	19.7%	15.4%	2.4%
January 2013	27.5%	20.0%	14.8%	2.3%
December 2012	27.8%	20.1%	14.8%	2.5%
November 2012	28.0%	21.3%	14.3%	2.3%
October 2012	27.4%	22.1%	14.1%	2.4%
September 2012	27.6%	22.8%	14.1%	2.3%
August 2012	27.6%	22.8%	14.4%	2.2%
July 2012	28.6%	23.1%	13.3%	2.2%
June 2012	29.9%	23.1%	6.5%	2.4%
May 2012	28.8%	23.3%	6.2%	2.3%
April 2012	28.9%	24.1%	6.5%	2.2%
March 2012	30.0%	24.3%	6.4%	2.1%
February 2012	30.7%	24.4%	6.5%	2.2%
January 2012	30.9%	24.8%	6.5%	2.5%
December 2011	31.2%	25.5%	6.3%	2.6%
November 2011	32.9%	25.5%	6.2%	2.4%
October 2011	34.3%	26.2%	6.4%	2.4%
September 2011	35.1%	26.1%	6.0%	2.4%
August 2011	35.4%	26.7%	6.2%	2.3%
July 2011	35.6%	27.7%	6.4%	2.3%
June 2011	36.3%	28.2%	6.3%	2.5%
May 2011	37.7%	28.3%	6.4%	2.2%
April 2011	37.8%	29.5%	6.2%	1.3%
March 2011	39.3%	30.1%	6.0%	2.0%
February 2011	40.2%	30.5%	6.0%	2.0%
January 2011	40.0%	31.1%	5.9%	2.0%
December 2010	41.3%	30.3%	5.9%	2.0%
November 2010	40.1%	30.2%	5.7%	1.9%
October 2010	41.6%	29.9%	5.5%	1.9%
September 2010	43.3%	30.4%	5.5%	1.6%
August 2010	43.2%	31.2%	4.2%	1.4%
July 2010	44.4%	31.4%	1.9%	2.1%
June 2010	45.5%	31.8%	3.5%	2.1%
May 2010	45.7%	32.2%	5.3%	2.0%
April 2010	46.9%	31.6%	5.4%	2.1%
March 2010	47.9%	32.3%	5.5%	2.1%
February 2010	48.7%	32.1%	5.6%	2.1%
January 2010	49.7%	32.3%	5.4%	2.1%
31 December 2009	50.3%	32.3%	5.1%	2.1%
30 November 2009	51.2%	32.0%	5.2%	1.2%
31 October 2009	51.3%	32.1%	5.1%	2.0%
30 September 2009	51.8%	31.9%	5.0%	2.0%
31 August 2009	52.4%	32.1%	4.9%	1.9%
31 July 2009	53.1%	31.7%	4.6%	1.8%
30 June 2009	57.1%	31.6%	3.2%	2.0%
31 May 2009	57.5%	31.4%	3.1%	2.0%
30 April 2009	57.6%	31.6%	2.9%	2.0%
31 March 2009	57.8%	31.5%	2.8%	2.0%
28 February 2009	58.1%	31.3%	2.7%	2.0%
31 January 2009	58.4%	31.1%	2.7%	2.0%
31 December 2008	58.6%	31.1%	2.9%	2.1%
30 November 2008	59.0%	30.8%	3.0%	2.0%
31 October 2008	59.4%	30.6%	3.0%	2.0%
30 September 2008	57.3%	32.5%	2.7%	2.0%
31 August 2008	58.7%	31.4%	2.4%	2.1%
31 July 2008	60.9%	29.7%	2.4%	2.0%
30 June 2008	61.7%	29.1%	2.5%	2.0%
31 May 2008	61.9%	28.9%	2.7%	2.0%
30 April 2008	62.0%	28.8%	2.8%	2.0%
31 March 2008	62.0%	28.8%	2.8%	2.0%
29 February 2008	62.0%	28.7%	2.8%	2.0%
31 January 2008	62.2%	28.7%	2.7%	2.0%
1 December 2007	62.8%	28.0%	2.6%	2.0%
10 November 2007	63.0%	27.8%	2.5%	2.0%
30 October 2007	65.5%	26.3%	2.3%	1.8%
20 September 2007	66.6%	25.6%	2.1%	1.8%
30 August 2007	66.7%	25.5%	2.1%	1.8%
30 July 2007	66.9%	25.1%	2.2%	1.8%
30 June 2007	66.9%	25.1%	2.3%	1.8%
30 May 2007	67.1%	24.8%	2.4%	1.8%
Date	Internet Explorer	Firefox	Safari	Opera
