Tie no	Home team	Score	Away team	Date
1	Chesterfield	2–2	Burnley	10 December 1983
Replay	Burnley	3–2	Chesterfield	19 December 1983
2	Darlington	0–0	Altrincham	10 December 1983
Replay	Altrincham	0–2	Darlington	14 December 1983
3	Reading	1–1	Oxford United	10 December 1983
Replay	Oxford United	3–0	Reading	14 December 1983
4	Gillingham	6–1	Chelmsford City	10 December 1983
5	Bolton Wanderers	2–0	Mansfield Town	10 December 1983
6	Lincoln City	0–0	Sheffield United	10 December 1983
Replay	Sheffield United	1–0	Lincoln City	19 December 1983
7	Windsor & Eton	0–0	Bournemouth	13 December 1983
Replay	Bournemouth	2–0	Windsor & Eton	19 December 1983
8	Bangor City	1–1	Blackpool	10 December 1983
Replay	Blackpool	2–1	Bangor City	13 December 1983
9	Brentford	3–2	Wimbledon	10 December 1983
10	Bristol Rovers	1–2	Bristol City	10 December 1983
11	Maidstone United	3–2	Worcester City	10 December 1983
12	Northampton Town	1–1	Telford United	10 December 1983
Replay	Telford United	3–2	Northampton Town	14 December 1983
13	Plymouth Argyle	2–1	Barking	10 December 1983
14	Millwall	2–3	Swindon Town	10 December 1983
15	Scunthorpe United	2–0	Bury	10 December 1983
16	York City	0–2	Rochdale	13 December 1983
17	Rotherham United	2–1	Hull City	10 December 1983
18	Wigan Athletic	1–0	Whitby Town	10 December 1983
19	Colchester United	4–0	Wealdstone	10 December 1983
20	Harrow Borough	1–3	Newport County	10 December 1983
