Date	Series	Circuit	City / State	Winner	Team
27 Jan	ATCC Round 1	Eastern Creek Raceway	Sydney , New South Wales	Craig Lowndes	Holden Racing Team
4 Feb	ATCC Round 2	Sandown International Raceway	Melbourne , Victoria	Craig Lowndes	Holden Racing Team
25 Feb	ATCC Round 3	Mount Panorama Circuit	Bathurst , New South Wales	John Bowe	Dick Johnson Racing
9 - 10 Mar	Super Touring Car Race	Albert Park street circuit	Melbourne , Victoria	Geoff Brabham	Paul Morris Motorsport
9 - 10 Mar	TAC Touring Cars	Albert Park street circuit	Melbourne , Victoria	Peter Brock	Holden Racing Team
17 Mar	ATCC Round 4	Symmons Plains Raceway	Launceston , Tasmania	Craig Lowndes	Holden Racing Team
30 - 31 Mar	Super Touring Cars	Surfers Paradise street circuit	Surfers Paradise , Queensland	Greg Murphy	Brad Jones Racing
30 - 31 Mar	EA Sports Touring Cars	Surfers Paradise street circuit	Surfers Paradise , Queensland	John Bowe	Dick Johnson Racing
14 Apr	ATCC Round 5	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Larry Perkins	Castrol Perkins Racing
28 Apr	ATCC Round 6	Calder Park Raceway	Melbourne , Victoria	Russell Ingall	Castrol Perkins Racing
5 May	ATCC Round 7	Lakeside International Raceway	Brisbane , Queensland	Craig Lowndes	Holden Racing Team
19 May	ASTC Round 1	Amaroo Park	Sydney , New South Wales	Brad Jones	Brad Jones Racing
26 May	ATCC Round 8	Barbagallo Raceway	Perth , Western Australia	Craig Lowndes	Holden Racing Team
2 Jun	ATCC Round 9	Mallala Motor Sport Park	Adelaide , South Australia	Craig Lowndes	Holden Racing Team
17 Jun	ATCC Round 10	Oran Park Raceway	Sydney , New South Wales	Peter Brock	Holden Racing Team
23 Jun	ASTC Round 2	Lakeside International Raceway	Brisbane , Queensland	Paul Morris	Paul Morris Motorsport
14 Jul	ASTC Round 3	Amaroo Park	Sydney , New South Wales	Brad Jones	Brad Jones Racing
11 Aug	ASTC Round 4	Mallala Motor Sport Park	Adelaide , South Australia	Greg Murphy	Brad Jones Racing
25 Aug	ASTC Round 5	Winton Motor Raceway	Benalla , Victoria	Paul Morris	Paul Morris Motorsport
8 Sep	Tickford 500	Sandown International Raceway	Melbourne , Victoria	Craig Lowndes Greg Murphy	Holden Racing Team
22 Sep	ASTC Round 6	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Greg Murphy	Brad Jones Racing
5 - 6 Oct	Super Touring	Mount Panorama Circuit	Bathurst , New South Wales	Jim Richards	Volvo Dealers Racing
5 - 6 Oct	AMP Bathurst 1000	Mount Panorama Circuit	Bathurst , New South Wales	Craig Lowndes Greg Murphy	Holden Racing Team
27 Oct	ASTC Round 7	Lakeside International Raceway	Brisbane , Queensland	Paul Morris	Paul Morris Motorsport
9 Nov	ASTC Round 8	Oran Park Raceway	Sydney , New South Wales	Brad Jones	Brad Jones Racing
17 Nov	Pukekohe Mobil Sprints	Pukekohe Park Raceway	Pukekohe , New Zealand	Greg Murphy	Holden Racing Team
24 Nov	Wellington Mobil Sprints	Wellington street circuit	Wellington , New Zealand	John Bowe	Dick Johnson Racing
