Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	CP Mérida	38	72	21	9	8	57	35	+22
2	UD Salamanca	38	71	20	11	7	72	33	+39
3	RCD Mallorca	38	70	20	10	8	59	38	+21
4	Albacete	38	66	19	9	10	51	32	+19
5	SD Eibar	38	66	17	15	6	44	26	+18
6	CD Badajoz	38	60	15	15	8	38	26	+12
7	UD Las Palmas	38	52	13	13	12	54	46	+8
8	CD Leganés	38	52	13	13	12	43	39	+4
9	Levante UD	38	50	13	11	14	53	46	+7
10	Villarreal CF	38	48	13	9	16	38	52	-14
11	UE Lleida	38	48	12	12	14	48	41	+7
12	Atlético de Madrid B	38	47	12	11	15	57	61	-4
13	Deportivo Alavés	38	47	12	11	15	43	47	-4
14	CD Toledo	38	45	12	9	17	37	53	-16
15	CD Ourense	38	44	11	11	16	35	46	-11
16	CA Osasuna	38	44	11	11	16	34	42	-8
17	Almería CF	38	41	9	14	15	40	51	-11
18	Real Madrid B	38	41	11	8	19	40	69	-29
19	Barcelona B	38	34	7	13	18	40	63	-23
20	Écija	38	30	7	9	22	27	64	-37
