Player	Matches	Overs	Maidens	Runs	Wickets	Average	Economy	Best Bowling
Ajmal Shahzad	1	24.0	6	64	3	21.33	2.67	2/43
Steven Patterson	4	99.1	23	280	12	23.33	2.82	3/19
Matthew Hoggard	13	342.5	66	1037	42	24.69	3.02	6/57
Tim Bresnan	14	419.0	726	1267	44	28.80	3.02	5/94
Adil Rashid	16	590.1	64	1886	62	30.42	3.20	7/107
David Wainwright	4	85.1	18	246	8	30.75	2.89	3/9
Anthony McGrath	14	99.1	16	282	9	31.33	2.84	2/27
Morné Morkel	1	15.2	4	33	1	33.00	2.15	1/33
Rana Naved-ul-Hasan	7	153.1	21	604	16	37.75	3.94	4/86
Deon Kruis	10	295.3	68	903	22	41.05	3.06	5/47
Darren Gough	8	149.0	25	528	9	58.67	3.54	2/34
Jacques Rudolph	16	21.2	2	74	1	74.00	3.47	1/13
Adam Lyth	14	30.1	5	105	1	105.00	3.48	1/20
Oliver Hannon-Dalby	1	29.0	5	114	1	114.00	3.93	1/58
Ben Sanderson	2	37.0	7	140	1	140.00	3.78	1/87
Richard Pyrah	5	56.0	11	201	1	201.00	3.59	1/14
Andrew Gale	15	1.0	0	3	0	N/A	3.00	0/3
Michael Vaughan	6	6.0	0	47	0	N/A	7.83	0/47
Total Bowling	151	2453.0	418	7814	223	33.54	3.19	7/107
