Year	Men's singles	Women's singles	Men's doubles	Women's doubles
2013	Lee Chong Wei	Tai Tzu-ying	Hendra Setiawan Mohammad Ahsan	Tian Qing Bao Yixin
2012	Lee Chong Wei	Wang Yihan	Fang Chieh-min Lee Sheng-mu	Christinna Pedersen Kamilla Rytter Juhl
2011	Lee Chong Wei	Wang Shixian	Chai Biao Guo Zhendong	Tian Qing Zhao Yunlei
2010	Lee Chong Wei	Wang Xin	Koo Kien Keat Tan Boon Heong	Du Jing Yu Yang
2009	Lee Chong Wei	Tine Rasmussen	Lee Yong-dae Jung Jae-sung	Lee Hyo-Jung Lee Kyung-Won
2008	Lee Chong Wei	Tine Rasmussen	Markis Kido Hendra Setiawan	Yang Wei Zhang Jiewen
2007	Peter Gade	Zhu Lin	Koo Kien Keat Tan Boon Heong	Gao Ling Huang Sui
2006	Lee Chong Wei	Zhang Ning	Koo Kien Keat Chan Chong Ming	Gao Ling Huang Sui
2005	Lee Chong Wei	Zhang Ning	Candra Wijaya Sigit Budiarto	Yang Wei Zhang Jiewen
2004	Lee Chong Wei	Zhang Ning	Choong Tan Fook Lee Wan Wah	Yang Wei Zhang Jiewen
2003	Chen Hong	Zhou Mi	Kim Dong-moon Lee Dong-soo	Yang Wei Zhang Jiewen
2002	James Chua	Hu Ting	Liu Yong Chen Qiqiu	Huang Nanyan Yang Wei
2001	Ong Ewe Hock	Gong Ruina	Candra Wijaya Sigit Budiarto	Huang Nanyan Yang Wei
2000	Taufik Hidayat	Gong Zhichao	Lee Dong-soo Yoo Yong-sung	Huang Nanyan Yang Wei
1999	Luo Yigang	Dai Yun	Candra Wijaya Tony Gunawan	Ge Fei Gu Jun
1998	Peter Gade	Zhang Ning	Tony Gunawan Halim Haryanto	Marlene Thomsen Rikke Olsen
1997	Hermawan Susanto	Susi Susanti	Ricky Subagja Rexy Mainaky	Ge Fei Gu Jun
1996	Ong Ewe Hock	Zhang Ning	Cheah Soon Kit Yap Kim Hock	Marlene Thomsen Rikke Olsen
1995	Alan Budi Kusuma	Susi Susanti	Pramote Teerawiwatana Sakrapee Thongsari	Julie Bradbury Joanne Wright
1994	Joko Suprianto	Susi Susanti	Rexy Mainaky Ricky Subagja	Ge Fei Gu Jun
1993	Ardy Wiranata	Susi Susanti	Rexy Mainaky Ricky Subagja	Lim Xiaoqing Christine Magnusson
1992	Rashid Sidek	Huang Hua	Cheah Soon Kit Soo Beng Kiang	Ge Fei Gu Jun
1991	Rashid Sidek	Sarwendah Kusumawardhani	Park Joo-bong Kim Moon-soo	Hwang Hye-yong Chung Soo-young
1990	Rashid Sidek	Huang Hua	Park Joo-bong Kim Moon-soo	Chung Myung-hee Chung Soo-young
1989	Xiong Guobao	Han Aiping	Park Joo-bong Kim Moon-soo	Guan Weizhen Lin Ying
1988	Xiong Guobao	Han Aiping	Tian Bingyi Li Yongbo	Guan Weizhen Lin Ying
1987	Yang Yang	Li Lingwei	Jalani Sidek Razif Sidek	Guan Weizhen Lin Ying
1986	Zhao Jianhua	Shi Wen	Jalani Sidek Razif Sidek	Wu Jianqiu Lin Ying
1985	Misbun Sidek	Gillian Gowers	Jalani Sidek Razif Sidek	Gillian Gowers Gillian Clark
1984	Icuk Sugiarto	Li Lingwei	Lee Deuk-choon Kim Moon-soo	Guan Weizhen Wu Jianqiu
1983	Liem Swie King	Pan Zhenli	Christian Hadinata Bobby Ertanto	Kim Yun-ja Yoo Sang-hee
1982 1969	No Competition	No Competition	No Competition	No Competition
1968	Tan Aik Huang	Hiroe Yuki	Tan Yee Khan Ng Boon Bee	Machiko Aizawa Etsuko Toganoo
1967	Erland Kops	Minarni Sudaryanto	Tan Yee Khan Ng Boon Bee	Retno Koestijah Minarni Sudaryanto
1966	Tan Aik Huang	Minarni Sudaryanto	Eddy Choong Tan Aik Huang	Retno Koestijah Minarni Sudaryanto
1965	Tan Aik Huang	Rosalind Singha Ang	Tan Yee Khan Ng Boon Bee	Teoh Siew Yong Rosalind Singha Ang
1964	Billy Ng Seow Meng	Sylvia Tan	Tan Yee Khan Ng Boon Bee	Teoh Siew Yong Rosalind Singha Ang
1963	Yew Cheng Hoe	Tan Gaik Bee	Tan Yee Khan Ng Boon Bee	Tan Gaik Bee Ng Mei Ling
1962	Charoen Wattanasin	Tan Gaik Bee	Teh Kew San George Yap	Tan Gaik Bee Ng Mei Ling
1961	Jim Poole	Tan Gaik Bee	Tan Yee Khan Ng Boon Bee	Tan Gaik Bee Cecilia Samuel
1960	Choong Ewe Beng	Minarni	Teh Kew San Lim Say Hup	Tan Gaik Bee Cecilia Samuel
1959	Charoen Wattanasin	Pachara Pattabongs	Teh Kew San Lim Say Hup	Tan Gaik Bee Cecilia Samuel
1958	Charoen Wattanasin	Pachara Pattabongs	Charoen Wattanasin Kamal Sudthivanich	Tan Gaik Bee Lim Kit Lin
1957	Choong Ewe Beng	Tan Gaik Bee	Teh Kew San Lim Say Hup	Tan Gaik Bee Lim Kit Lin
1956	Ong Poh Lim	Yang Weng Ching	Ong Poh Lim Ismail Marjan	Yang Weng Ching Oei Lin Nio
1955	Ferry A. Sonneville	Cecilia Samuel	Ong Poh Lim Ooi Teik Hock	Cecilia Samuel Phua Yoke Chin
1954	Ong Poh Lim	Cecilia Samuel	Chan Kon Leong Lee Kee Fong	Cecilia Samuel Phua Yoke Chin
1953	Wong Peng Soon	Cecilia Samuel	Ong Poh Lim Ismail Marjan	Cecilia Samuel Phua Yoke Chin
1952	Wong Peng Soon	Cecilia Samuel	Choong Ewe Leong Law Teik Hock	Amy Choong Cheah Kooi San
1951	Wong Peng Soon	Cecilia Samuel	Chan Kon Leong Abdullah Piruz	Cecilia Samuel Lim Kit Lin
