Place	Player	Country	Score	To par
1	Tiger Woods	United States	71-63-69=203	–7
2	Stephen Ames	Canada	68-69-69=206	–4
3	Woody Austin	United States	68-70-69=207	–3
4	John Senden	Australia	69-70-69=208	–2
5	Ernie Els	South Africa	72-68-69=209	–1
T6	K.J. Choi	South Korea	71-71-68=210	E
T6	Nathan Green	Australia	75-68-67=210	E
T6	Arron Oberholser	United States	68-72-70=210	E
T6	Adam Scott	Australia	72-68-70=210	E
T6	Kevin Sutherland	United States	73-69-68=210	E
T6	Scott Verplank	United States	70-66-74=210	E
T6	Boo Weekley	United States	76-69-65=210	E
