#	Cover Date	Story Title	Writer/s	Artist/s	Letterer/s	Colourist/s	Editor/s	Comments
29	5 October 1985	DECEPTICON DAM BUSTERS (PART 1)	Simon Furman	John Stokes	Richard Starkings	Steve Whitaker	Ian Rimmer	Original UK Material
30	12 October 1985	DECEPTICON DAM BUSTERS (PART 2)	Simon Furman	John Stokes	Richard Starkings	Steve Whitaker	Ian Rimmer	Original UK Material
31	19 October 1985	THE WRATH OF GUARDIAN	Simon Furman	Barry Kitson	Annie Halfacree	Gina Hart	Ian Rimmer	Original UK Material
32	26 October 1985	THE WRATH OF GRIMLOCK	Simon Furman	Barry Kitson and Farmer	Mike Scott	Steve Whitaker	Ian Rimmer	Original UK Material
41	28 December 1985	CHRISTMAS BREAKER	James Hill	William Simpson	Richard Starkings	Gina Hart	Ian Rimmer	Original UK Material
42	4 January 1986	CRISIS OF COMMAND (PART ONE)	Mike Collins	Geoff Senior	Mike Scott	Steve Whitaker	Ian Rimmer	Original UK Material
43	11 January 1986	CRISIS OF COMMAND (PART TWO)	James Hill	Geoff Senior	Mike Scott	Gina Hart	Ian Rimmer	Original UK Material
44	18 January 1986	CRISIS OF COMMAND (PART THREE)	Mike Collins	John Stokes	Mike Scott	Gina Hart	Ian Rimmer	Original UK Material
45	25 January 1986	THE ICARUS THEORY (PART ONE)	Simon Furman	Barry Kitson	Richard Starkings	Gina Hart	Ian Rimmer	Original UK Material
46	1 February 1986	THE ICARUS THEORY (PART TWO)	Simon Furman	Barry Kitson	Richard Starkings	Stuart Place	Ian Rimmer	Original UK Material
47	8 February 1986	DINOBOT HUNT (PART ONE)	Simon Furman	William Simpson	Annie Halfacree	Stuart Place	Ian Rimmer	Original UK Material
48	15 February 1986	DINOBOT HUNT (PART TWO)	Simon Furman	Barry Kitson (Pencils) & Marc Griffiths (Inks)	Annie Halfacree	Jeff Anderson	Ian Rimmer	Original UK Material
49	22 February 1986	DINOBOT HUNT (PART THREE)	Simon Furman	William Simpson	Mike Scott	Stuart Place	Ian Rimmer	Original UK Material
50	1 March 1986	DINOBOT HUNT (PART FOUR)	Simon Furman	Barry Kitson (Artist) & Tim Perkins (Art Assist)	Annie Halfacree	Stuart Place	Ian Rimmer	Original UK Material
59	3 May 1986	ROBOT BUSTER! (Part 1)	Simon Furman (Script) & Barry Kitson (Plot Idea)	Barry Kitson	Annie Halfacree	Josie Firmin	Ian Rimmer	Original UK Material
60	10 May 1986	ROBOT BUSTER! (Part 2)	Simon Furman (Story) & Barry Kitson (Plot)	Barry Kitson (Pencils) & Tim Perkins (Inks)	Annie Halfacree	T. M. Cooks	Ian Rimmer	Original UK Material
