Rank	Name	Height ft / m	Floors	Year
1	JPMorgan Chase Tower	01.0 1,002 / 305	75	1982
2	Wells Fargo Bank Plaza	02.0 992 / 302	71	1983
3	Williams Tower	03.0 901 / 275	64	1983
4	Bank of America Center	04.0 780 / 238	56	1983
5	Heritage Plaza	05.0 762 / 232	53	1987
6	Enterprise Plaza	06.0 756 / 230	55	1980
7	Centerpoint Energy Plaza	07.0 741 / 226	47	1974
8	Continental Center I	08.0 732 / 223	53	1984
9	Fulbright Tower	09.0 725 / 221	52	1982
10	One Shell Plaza	10.0 714 / 218	50	1971
11	1400 Smith Street	11.0 691 / 211	50	1983
12	Three Allen Center	12.0 685 / 209	50	1980
13	One Houston Center	13.0 678 / 207	48	1978
14	First City Tower	14.0 662 / 202	49	1981
15	BG Group Place	15.0 630 / 192	46	2010
16	San Felipe Plaza	16.0 625 / 191	45	1984
17	Exxon Building	17.0 607 / 185	44	1963
18	1500 Louisiana Street	18.0 600 / 183	40	2002
19	America Tower	19.0 591 / 180	42	1983
20	Two Houston Center	20.0 579 / 176	40	1974
21	Marathon Oil Tower	21.0 561 / 171	41	1983
22	Wedge International Tower	22.0 551 / 168	43	1983
23	KBR Tower	23.0 550 / 167	40	1973
24	Pennzoil Place	24.0 523 / 159	36	1976
25	Devon Energy Tower	25.0 522 / 159	36	1978
26	One Park Place	26.0 518 / 158	37	2009
27	Reliant Energy Plaza	27.0 518 / 158	36	2003
28	Total Plaza	28.0 518 / 158	35	1971
29	The Huntingdon	29.0 502 / 153	34	1984
30	El Paso Energy Building	30.0 502 / 153	33	1963
31	Hess Tower	30.0 490 / 149	30	2010
32	Five Greenway Plaza	31.0 465 / 142	31	1973
33	Calpine Center	32.0 453 / 138	34	2003
34	One Allen Center	33.0 452 / 138	34	1972
35	Four Leaf Towers I	34.0 444 / 135	40	1982
36	Four Leaf Towers II	35.0 444 / 135	40	1982
37=	Eleven Greenway Plaza	36.0 441 / 134	31	1979
37=	Nine Greenway Plaza	37.0 441 / 134	31	1978
39	Phoenix Tower	38.0 434 / 132	34	1984
40	Memorial Hermann Medical Plaza	39.0 430 / 131	28	2007
41	JPMorgan Chase Building	40.0 428 / 130	36	1929
42	The Spires	41.0 426 / 130	40	1983
43	Aon Tower	42.0 420 / 128	30	1983
44	Niels Esperson Building	43.0 410 / 125	32	1927
45	One City Centre	44.0 410 / 125	32	1961
46	Bob Lanier Public Works Building	45.0 410 / 125	27	1968
47	2727 Kirby	46.0 401 /	30	2009
48	Hyatt Regency Houston	46.0 401 / 122	30	1972
49	The Mercer West Tower	47.0 400 / 122	30	2003
