Season	Player	Position	Nationality	Team	Draft Pick #	Draft Class	College
1996	Steve Ralston Category:Articles with hCards	Midfielder	United States	Tampa Bay Mutiny	18	1996 MLS College Draft	Florida International
1997	Mike Duhaney Category:Articles with hCards	Defender	United States	Tampa Bay Mutiny	87	1996 MLS Inaugural Player Draft	UNLV
1998	Ben Olsen Category:Articles with hCards	Midfielder	United States	D.C. United	N/A	Project-40	Virginia
1999	Jay Heaps Category:Articles with hCards	Defender	United States	Miami Fusion	2	1999 MLS College Draft	Duke
2000	Carlos Bocanegra Category:Articles with hCards	Defender	United States	Chicago Fire	4	2000 MLS SuperDraft	UCLA
2001	Rodrigo Faria Category:Articles with hCards	Forward	Brazil	MetroStars	13	2001 MLS SuperDraft	Concordia College
2002	Kyle Martino Category:Articles with hCards	Midfielder	United States	Columbus Crew	8	2002 MLS SuperDraft	Virginia
2003	Damani Ralph Category:Articles with hCards	Forward	Jamaica	Chicago Fire	18	2003 MLS SuperDraft	Connecticut
2004	Clint Dempsey Category:Articles with hCards	Midfielder	United States	New England Revolution	8	2004 MLS SuperDraft	Furman
2005	Michael Parkhurst Category:Articles with hCards	Defender	United States	New England Revolution	9	2005 MLS SuperDraft	Wake Forest
2006	Jonathan Bornstein Category:Articles with hCards	Defender	United States	Chivas USA	37	2006 MLS SuperDraft	UCLA
2007	Maurice Edu Category:Articles with hCards	Midfielder	United States	Toronto FC	1	2007 MLS SuperDraft	Maryland
2008	Sean Franklin Category:Articles with hCards	Defender	United States	Los Angeles Galaxy	4	2008 MLS SuperDraft	Cal State Northridge
2009	Omar Gonzalez Category:Articles with hCards	Defender	United States	Los Angeles Galaxy	3	2009 MLS SuperDraft	Maryland
2010	Andy Najar Category:Articles with hCards	Midfielder	Honduras	D.C. United	N/A	D.C. United Academy	none
2011	C. J. Sapong Category:Articles with hCards	Forward	United States	Sporting Kansas City	10	2011 MLS SuperDraft	James Madison
