Institution	Location	Founded	Affiliation	Enrollment	Team Nickname	Primary conference
Aquinas College	Grand Rapids, Michigan	1886	Private	2159	Saints	WHAC ( NAIA )
Butler University	Indianapolis, Indiana	1855	Private	4512	Bulldogs	Horizon ( Division I )
Carnegie Mellon University	Pittsburgh, Pennsylvania	1900	Private/ Nonsectarian	10875	Tartans	UAA ( Division III )
University of Dayton	Dayton, Ohio	1850	Private/Catholic	10569	Flyers	Atlantic 10 ( Division I )
Ferris State University	Big Rapids, Michigan	1884	Public	13865	Bulldogs	GLIAC ( Division II )
Grand Valley State University	Allendale, Michigan	1960	Public	24408	Lakers	GLIAC ( Division II )
Grove City College	Grove City, Pennsylvania	1876	Private/ Christian	2500	Wolverines	PAC ( Division III )
Indiana Institute of Technology	Fort Wayne, Indiana	1930	Private	3207	Warriors	WHAC ( NAIA )
John Carroll University	University Heights, Ohio	1886	Private/ Catholic	3709	Blue Streaks	OAC ( Division III )
Lawrence Technological University	Southfield, MI	1932	Private	4000	Blue Devils	WHAC ( NAIA )
Lourdes College	Sylvania, OH	1958	Private/ Catholic	2616	Gray Wolves	WHAC ( NAIA )
University of Michigan-Dearborn	Dearborn, Michigan	1959	Public	8634	Wolves	Wolverine-Hoosier ( NAIA )
Northern Michigan University	Marquette, Michigan	1899	Public	8578	Wildcats	GLIAC ( Division II )
Northwood University	Midland, Michigan	1961	Private	1987	Timberwolves	GLIAC ( Division II )
Oakland University	Rochester, Michigan	1957	Public	18553	Grizzlies	The Summit League ( Division I )
Siena Heights University	Adrian, Michigan	1919	Private/Catholic	2274	Saints	Wolverine-Hoosier ( NAIA )
