Tournament	2004	2005	2006	2007	2008	2009	2010	2011
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	A	A	1R	1R	1R
French Open	A	A	A	A	2R	2R	2R	1R
Wimbledon	A	A	A	Q1	1R	1R	1R	1R
US Open	A	A	A	A	3R	3R	1R	1R
Win-Loss	0–0	0–0	0–0	0–0	3–3	3–4	1–4	0–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	A	Not Held	Not Held	Not Held	2R	Not Held	Not Held	Not Held
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
WTA Tour Championships	A	A	A	A	A	A	A	A
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	A	A	A	1R	1R	A
Miami	A	A	A	A	A	2R	2R	Q1
Madrid	Not Held	Not Held	Not Held	Not Held	Not Held	1R	1R	Q2
Beijing	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	1R	A	A
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	1R	1R	A
Rome	A	A	A	A	A	1R	A	A
Cincinnati	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	1R	A	A
Montréal / Toronto	A	A	A	A	A	1R	A	A
Tokyo	A	A	A	A	A	A	A	A
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Tournaments Won	0	2	0	0	2	1	0	2
Career Win–Loss	8–3	34–11	18–10	50–29	48–20	32–26	21–28	27–18
Year End Ranking	924	302	330	279	58	45	104	72
