Date	Opponent	Venue	Result	Attendance
15 August 1970	Derby County	H	2-1	46,969
19 August 1970	Manchester United	A	0-0	50,979
22 August 1970	West Ham United	A	2-0	39,240
26 August 1970	Everton	H	2-2	48,195
29 August 1970	Arsenal	H	2-1	53,722
1 September 1970	Burnley	A	0-0	14,543
5 September 1970	Leeds United	A	0-1	47,662
12 September 1970	Wolverhampton Wanderers	H	2-2	34,889
19 September 1970	Coventry City	A	1-0	29,328
26 September 1970	Ipswich Town	H	2-1	38,541
3 October 1970	Liverpool	A	0-1	46,196
10 October 1971	Manchester City	H	1-1	51,903
17 October 1970	Derby County	A	2-1	35,166
24 October 1970	Blackpool	A	4-3	24,940
31 October 1970	Southampton	H	2-2	44,843
7 November 1970	Huddersfield Town	A	1-0	24,631
14 November 1970	Tottenham Hotspur	H	0-2	61,277
21 November 1970	Stoke City	H	2-1	36,227
28 November 1970	West Bromwich Albion	A	2-2	29,374
5 December 1970	Newcastle United	H	1-0	39,413
12 December 1970	Nottingham Forest	A	1-1	20,080
19 December 1970	West Ham United	H	2-1	42,075
9 January 1971	Manchester United	H	1-2	53,482
13 January 1971	Crystal Palace	A	0-0	40,489
16 January 1971	Everton	A	0-3	43,648
30 January 1971	West Bromwich Albion	H	4-1	26,874
6 February 1971	Newcastle United	A	1-0	34,366
13 February 1971	Wolverhampton Wanderers	A	0-1	34,110
17 February 1971	Nottingham Forest	H	2-0	19,339
20 February 1971	Stoke City	A	2-1	26,959
27 February 1971	Southampton	A	0-0	29,937
6 March 1971	Blackpool	H	2-0	26,530
13 March 1971	Tottenham Hotspur	A	1-2	49,292
20 March 1971	Huddersfield Town	H	0-0	28,207
27 March 1971	Leeds United	H	3-1	58,452
3 April 1971	Arsenal	A	0-2	62,087
10 April 1971	Crystal Palace	H	1-1	38,953
12 April 1971	Liverpool	H	1-0	38,705
17 April 1971	Manchester City	A	1-1	26,120
24 April 1971	Coventry City	H	2-1	27,517
26 April 1971	Burnley	H	0-1	14,356
1 May 1971	Ipswich Town	A	0-0	24,708
