Team	Location	Venue	League and position in 1991	Coach
Halychyna	Drohobych	Kranovyk Stadium	Soviet Second League	B.Rassikhin
Vorskla	Poltava	Vorskla Stadium	Soviet Second League	Serhiy Dotsenko
Kolos	Nikopol	Metalurh Stadium	Soviet Second League "B"	V.Nechaev
Veres	Rivne	Avanhard Stadium	Soviet Second League "B"	Viktor Nosov
Pryladyst	Mukachevo	50ty-richya Zhovtnya Stadium	Soviet Second League "B"	V.Tellinher
Krystal	Kherson	Krystal Stadium	Soviet Second League "B"	O.Lebid
Ros	Bila Tserkva	Trudovi Rezervy Stadium	Soviet Second League "B"	S.Honcharenko
Avtomobilist	Sumy	Kolos Stadium	Soviet Second League "B"	Mykhailo Fomenko
Polissya	Zhytomyr	Lenin's Komsomol Stadium	Soviet Second League "B"	Z.Avdysh
Kryvbas	Kryvyi Rih	Metalurh Stadium	Soviet Second League "B"	Volodymyr Stryzhevsky
Shakhtar	Pavlohrad	Shakhtar Stadium	Soviet Second League "B"	A.Keskyula
Desna	Chernihiv	Gagarin Stadium	Soviet Second League "B"	Yuriy Hruznov
Podillya	Khmelnytskyi	Podillya Stadium	Soviet Second League "B"	H.Ishchenko
Zakarpattia	Uzhhorod	Avanhard Stadium	Soviet Second League "B"	S.Voitko
Skala	Stryi	Sokil Stadium	Soviet Second League "B"	M.Volkhovy
Stal	Alchevsk	Stal Stadium	Soviet Second League "B"	Anatoliy Volobuyev
Dnipro	Cherkasy	Central Stadium	Soviet Second League "B"	Viktor Zhylin
Khimik	Severodonetsk	Khimik Stadium	Soviet Second League "B"	V.Dobizha
Vahonobudivnyk	Stakhanov	Peremoha Stadium	Soviet Second League "B"	Oleksandr Tkachenko
SKA	Kyiv	SKA Stadium	Soviet Second League "B"	O.Feshukov
Chaika	Sevastopol	Chaika Stadium	Soviet Second League "B"	Oleksiy Rudyka
Artania	Ochakiv	Sokil Stadium	Soviet Second League "B"	Valeriy Zhuravko
Dynamo-2	Kyiv	Dynamo Stadium	Soviet Top League Reserves	Volodymyr Onyshchenko
Shakhtar-2	Kostyantynivka	Avtosteklo Stadium	Soviet Top League Reserves	Yevhen Korol
Chornomorets-2	Odessa	SKA Stadium	Soviet Top League Reserves	Vitaliy Sidnev
Krystal	Chortkiv	Kharchovyk Stadium	Ukrainian KFK competitions	Boris Streltsov
Novator	Mariupol	Sport Complex Azovstal	Ukrainian KFK competitions	Yuriy Kerman
Polihraftekhnika	Oleksandriya	Shakhtar Stadium	Ukrainian KFK competitions	Yuriy Koval
