Week 1	Week 2	Week 3	Week 4	Week 5
Alexandra Penovich*	Josie Goldberg	Felicia Taylor	Diane Deluna	[Month Ended]
Cassia Walton	Kaci Lynn	Amanda English*	Cassie and Kat Kellerman	[Month Ended]
Demi Jessica	Jenna Jamison	Dana DiCillo	Heidi Wheeler*	Jenna Michelle
Blair Snell	Sharae Spears **	Chernise Yvette	Chelsea Co	[Month Ended]
Heather Bauer	Britney Arianna	Jia Lynn*	Kristi Lynn	[Month Ended]
Crystal Enloe	Lexi Lombardelli	Katie Anderson	Tasha Nicole*	Bryleigh Rayne
Nikki Ryann	Brittany Sylvanowicz	Debbie Beal*	Kristen Smith	[Month Ended]
Anissa Holmes	Shannon Bettencourt	Alinna D Penta	Kristina Jarvis*	[Month Ended]
Stephanie Emma	Elizabeth Taylor	Rebecca Lynn*	Stephanie Strong	Samantha Dunn
Jennifer Kohut	Ashley Lowe	Jennifer Lewis*	Jane Taylor	[Month Ended]
Jayden Tyler	Lauren D'Marie*	Ashley Sey	Lynn Delarosa	[Month Ended]
Natalie Marie	Michelle Panzarella	Lindsey Roeper	Dayna Jones	Kaytee Bees*
