Rank	Peak	Country	Island	Elevation (m)	Prominence (m)	Col (m)
1	Finisterre Range High Point	Papua New Guinea	New Guinea	4175	3734	441
2	Mount Suckling	Papua New Guinea	New Guinea	3676	2976	700
3	Mount Wilhelm	Papua New Guinea	New Guinea	4509	2969	1540
4	Mount Victoria	Papua New Guinea	New Guinea	4038	2738	1300
5	Mount Balbi	Papua New Guinea	Bougainville Island	2715	2715	0
6	Mount Oiautukekea	Papua New Guinea	Goodenough Island	2536	2536	0
7	Mount Giluwe	Papua New Guinea	New Guinea	4367	2507	1860
8	New Ireland High Point	Papua New Guinea	New Ireland	2340	2340	0
9	Mount Ulawun	Papua New Guinea	New Britain	2334	2334	0
10	Mount Kabangama	Papua New Guinea	New Guinea	4104	2284	1820
11	Nakanai Mountains High Point	Papua New Guinea	New Britain	2316	2056	260
12	Mount Kilkerran	Papua New Guinea	Fergusson Island	1947	1947	0
13	Mount Piora	Papua New Guinea	New Guinea	3557	1897	1660
14	Mount Bosavi	Papua New Guinea	New Guinea	2507	1887	620
15	Mount Karoma	Papua New Guinea	New Guinea	3623	1883	1740
16	Mount Simpson	Papua New Guinea	New Guinea	2883	1863	1020
17	Mount Kunugui	Papua New Guinea	Karkar Island	1833	1833	0
18	Mount Victory	Papua New Guinea	New Guinea	1891	1831	60
19	Manam High Point	Papua New Guinea	Manam	1807	1807	0
20	Mount Michael	Papua New Guinea	New Guinea	3647	1787	1860
21	Mount Talawe	Papua New Guinea	New Britain	1824	1773	51
22	Barurumea Ridge	Papua New Guinea	New Britain	2063	1723	340
23	Mount Sarawaget	Papua New Guinea	New Guinea	4121	1701	2420
24	Bewani Mountains High Point	Papua New Guinea	New Guinea	1980	1664	316
25	Mount Bel	Papua New Guinea	Umboi Island	1658	1658	0
26	unnamed summit	Papua New Guinea	New Britain	1951	1651	300
27	Mount Maybole	Papua New Guinea	Fergusson Island	1665	1597	68
28	Adelbert Range High Point	Papua New Guinea	New Guinea	1716	1576	140
29	Sibium Mountains High Point	Papua New Guinea	New Guinea	2295	1555	740
30	Mount Shungol	Papua New Guinea	New Guinea	2752	1518	1234
