Year	Competition Description	Location	Apparatus	Rank-Final
2007	U.S. Championships	San Jose	Floor Exercise	3
2007	U.S. Championships	San Jose	All-Around	6
2007	U.S. Championships	San Jose	Uneven Bars	8
2007	U.S. Championships	San Jose	Vault	10 (tie)
2007	U.S. Championships	San Jose	Balance Beam	12
2007	Junior Pan American Championships	Guatemala City, Guatemala	Team	1
2007	Junior Pan American Championships	Guatemala City, Guatemala	All-Around	1
2007	Junior Pan American Championships	Guatemala City, Guatemala	Floor Exercise	1
2007	Junior Pan American Championships	Guatemala City, Guatemala	Uneven Bars	2
2007	U.S. Classic	Battle Creek, Michigan	Uneven Bar	2
2007	U.S. Classic	Battle Creek, Michigan	All-Around	3
2006	U.S. Classic	Kansas City, Kansas	All-Around	5
