Tournament	Surface	Week	Winner and score	Finalist	Semifinalists
Indian Wells	Hard	March 10	Michael Chang 4–6, 6–3, 6–4, 6–3	Bohdan Ulihrach	Jonas Björkman Thomas Muster
Key Biscane	Hard	March 17	Thomas Muster 7–6(6), 6–3, 6–1	Sergi Bruguera	Pete Sampras Jim Courier
Monte Carlo	Clay	April 21	Marcelo Ríos 6–4, 6–3, 6–3	Àlex Corretja	Carlos Moyá Fabrice Santoro
Hamburg	Clay	May 5	Andriy Medvedev 6–0, 6–4, 6–2	Félix Mantilla	Tommy Haas Yevgeny Kafelnikov
Rome	Clay	May 12	Àlex Corretja 7–5, 7–5, 6–3	Marcelo Ríos	Alberto Berasategui Goran Ivanišević
Montréal	Hard	July 28	Chris Woodruff 7–5, 4–6, 6–3	Gustavo Kuerten	Michael Chang Yevgeny Kafelnikov
Cincinnati	Hard	August 4	Pete Sampras 6–3, 6–4	Thomas Muster	Albert Costa Michael Chang
Stuttgart	Carpet (i)	October 20	Petr Korda 7–6(6), 6–2, 6–4	Richard Krajicek	Jonas Björkman Patrick Rafter
Paris	Carpet (i)	October 27	Pete Sampras 6–3, 4–6, 6–3, 6–1	Jonas Björkman	Yevgeny Kafelnikov Thomas Enqvist
Hannover ( AWC )	Hard (i)	November 10	Pete Sampras 6–3, 6–2, 6–2	Yevgeny Kafelnikov	Carlos Moyá Jonas Björkman
