Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1988	Kim Brodersen	Katrin Schmidt	Markus Keck Robert Neumann	Katrin Schmidt Nicole Baldewein	Markus Keck Katrin Schmidt
1989	Sörgard	Katrin Schmidt	Stefan Frey Robert Neumann	Birgitta Lehnert Monica Halim	Chen Jin Katrin Schmidt
1998	Yong Yudianto	Karolina Ericsson	Michael Keck Christian Mohr	Erica van den Heuvel Judith Meulendijks	Michael Keck Nicol Pitro
1999	Oliver Pongratz	Zheng Yaqiong	Quinten van Dalm Dennis Lens	Britta Andersen Lene Mork	Chris Bruil Erica van den Heuvel
2000	Xie Yangchun	Xu Huaiwen	Michael Søgaard Joachim Fischer Nielsen	Claudia Vogelgsang Xu Huaiwen	Michael Keck Erica van den Heuvel
2001	Niels Christian Kaldau	Pi Hongyan	Michael Søgaard Michael Lamp	Neli Boteva Elena Nozdran	Chris Bruil Lotte Bruil-Jonathans
2002	Chen Gang	Pi Hongyan	Simon Archer Flandy Limpele	Mia Audina Lotte Bruil-Jonathans	Nathan Robertson Gail Emms
2003	Dicky Palyama	Xu Huaiwen	Michał Łogosz Robert Mateusiak	Nicole Grether Juliane Schenk	Frederik Bergström Johanna Persson
2004	Niels Christian Kaldau	Xu Huaiwen	Simon Archer Anthony Clark	Kamila Augustyn Nadieżda Kostiuczyk	Rasmus Mangor Andersen Britta Andersen
2005	Kasper Ødum	Xu Huaiwen	Tony Gunawan Halim Haryanto	Nicole Grether Juliane Schenk	Vladislav Druzhchenko Johanna Persson
2006	Ronald Susilo	Xu Huaiwen	Michał Łogosz Robert Mateusiak	Jiang Yanmei Li Yujia	Robert Mateusiak Nadieżda Kostiuczyk
2007	Lu Yi	Wang Yihan	Mathias Boe Carsten Mogensen	Yang Wei Zhang Jiewen	Kristof Hopp Birgit Overzier
2008	Chetan Anand	Maria Febe Kusumastuti	Mathias Boe Carsten Mogensen	Helle Nielsen Marie Roepke	Diju Valiyaveetil Jwala Gutta
2009	Jan Ø. Jørgensen	Juliane Schenk	Rupesh Kumar Sanave Thomas	Helle Nielsen Marie Roepke	Mikkel Delbo Larsen Mie Schjoett-Kristensen
2010	Chen Long	Liu Xin	Mathias Boe Carsten Mogensen	Pan Pan Tian Qing	Zhang Nan Zhao Yunlei
2011	Hans-Kristian Vittinghus	Li Xuerui	Bodin Isara Maneepong Jongjit	Mizuki Fujii Reika Kakiiwa	Chan Peng Soon Goh Liu Ying
2012	Chou Tien-chen	Juliane Schenk	Ingo Kindervater Johannes Schoettler	Wang Rong Zhang Zhibo	Anders Kristiansen Julie Houmann
