Date	Visitor	Score	Home	Record
January 1	Pittsburgh	3 – 2	Detroit	5–9–1
January 4	Toronto	2 – 1	Detroit	5–10–1
January 6	Detroit	3 – 1	Pittsburgh	6–10–1
January 9	Detroit	1 – 4	NY Rangers	6–11–1
January 11	Detroit	1 – 0	NY Americans	7–11–1
January 13	Boston	2 – 3	Detroit	8–11–1
January 15	Detroit	1 – 1	Toronto	8–11–2
January 18	Detroit	3 – 5	Mtl. Canadiens	8–12–2
January 22	Detroit	0 – 1	Pittsburgh	8–13–2
January 25	Detroit	1 – 2	Mtl. Maroons	8–14–2
January 27	Detroit	1 – 3	Ottawa	8–15–2
January 29	Detroit	0 – 2	NY Rangers	8–16–2
