No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	Viewers (millions)
41	1	"The Awakening"	Giancarlo Volpe	Aaron Ehasz	September21,2007	301	N/A
42	2	"The Headband"	Joaquim dos Santos	John O'Bryan	September28,2007	302	N/A
43	3	"The Painted Lady"	Ethan Spaulding	Joshua Hamilton	October5,2007	303	N/A
44	4	"Sokka's Master"	Giancarlo Volpe	Tim Hedrick	October12,2007	304	N/A
45	5	"The Beach"	Joaquim dos Santos	Katie Mattila	October19,2007	305	N/A
46	6	"The Avatar and the Firelord"	Ethan Spaulding	Elizabeth Welch Ehasz	October26,2007	306	N/A
47	7	"The Runaway"	Giancarlo Volpe	Joshua Hamilton	November2,2007	307	N/A
48	8	"The Puppetmaster"	Joaquim Dos Santos	Tim Hedrick	November9,2007	308	N/A
49	9	"Nightmares and Daydreams"	Ethan Spaulding	John O'Bryan	November16,2007	309	N/A
50	10	"The Day of Black Sun, Part 1: The Invasion"	Giancarlo Volpe	Michael Dante DiMartino	November30,2007	310	3.77
51	11	"The Day of Black Sun, Part 2: The Eclipse"	Joaquim dos Santos	Aaron Ehasz	November30,2007	311	3.77
52	12	"The Western Air Temple"	Ethan Spaulding	Elizabeth Welch Ehasz & Tim Hedrick	July14,2008	312	N/A
53	13	"The Firebending Masters"	Giancarlo Volpe	John O'Bryan	July15,2008	313	N/A
54	14	"The Boiling Rock, Part 1"	Joaquim Dos Santos	May Chan	July16,2008	314	3.97
55	15	"The Boiling Rock, Part 2"	Ethan Spaulding	Joshua Hamilton	July16,2008	315	3.97
56	16	"The Southern Raiders"	Joaquim Dos Santos	Elizabeth Welch Ehasz	July17,2008	316	4.23
57	17	"The Ember Island Players"	Giancarlo Volpe	Tim Hedrick, Josh Hamilton & John O'Bryan	July18,2008	317	4.53
58	18	" Sozin's Comet, Part 1: The Phoenix King "	Ethan Spaulding	Michael Dante DiMartino	July19,2008	318	5.59
59	19	" Sozin's Comet, Part 2: The Old Masters "	Giancarlo Volpe	Aaron Ehasz	July19,2008	319	5.59
60	20	" Sozin's Comet, Part 3: Into the Inferno "	Joaquim dos Santos	Michael Dante DiMartino & Bryan Konietzko	July19,2008	320	5.59
