Outcome	Year	Tournament	Surface	Opponent in the final	Score
Runner-up	11 October 1993	Montpellier , France	Hard	Elena Likhovtseva	3–6, 4–6
Runner-up	30 October 1995	Quebec City , Canada	Carpet	Brenda Schultz-McCarthy	6–7(5), 2–6
Winner	19 May 1996	Cardiff , Great Britain	Clay	Laurence Courtois	6–4, 6–2
Winner	12 January 1997	Hobart , Australia	Hard	Marianne Werdel-Witmeyer	6–3, 6–3
Winner	28 September 1997	Surabaya , Indonesia	Hard	Lenka Němečková	6–1, 6–3
Runner-up	20 October 1997	Quebec City , Canada	Carpet	Brenda Schultz-McCarthy	4–6, 7–6(4), 5–7
Runner-up	23 November 1997	Pattaya , Thailand	Hard	Henrieta Nagyová	5–7, 7–6(6), 5–7
Winner	11 January 1998	Auckland , New Zealand	Hard	Silvia Farina	4–6, 7–6, 7–5
Runner-up	12 January 1998	Hobart , Australia	Hard	Patty Schnyder	3–6, 2–6
Runner-up	9 February 1998	Paris , France	Hard	Mary Pierce	3–6, 5–7
Runner-up	23 February 1998	Linz , Austria	Carpet	Jana Novotná	1–6, 6–7(2)
Runner-up	18 May 1998	Madrid , Spain	Clay	Patty Schnyder	6–3, 4–6, 0–6
Runner-up	2 January 1999	Auckland , New Zealand	Hard	Julie Halard-Decugis	4–6, 1–6
Runner-up	20 September 1999	Luxembourg , Luxembourg	Hard	Kim Clijsters	2–6, 2–6
Runner-up	19 June 2000	Eastbourne , United Kingdom	Grass	Julie Halard-Decugis	6–7(4), 4–6
Runner-up	17 July 2000	Knokke-Heist , Belgium	Clay	Anna Smashnova	2–6, 5–7
