Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
48	February 1	Kings	W 112–109 (OT)	Kenyon Martin (24)	Kenyon Martin (12)	Chauncey Billups (9)	Pepsi Center 15,544	33-15
49	February 3	Suns	L 97–109 (OT)	Nenê , J.R. Smith (15)	Kenyon Martin (10)	J.R. Smith (5)	Pepsi Center 19,155	33-16
50	February 5	@ Lakers	W 126–113 (OT)	Chauncey Billups (39)	Chris Andersen (15)	Chauncey Billups (8)	Staples Center 18,997	34-16
51	February 6	@ Jazz	L 106–116 (OT)	Ty Lawson (25)	Kenyon Martin (13)	Ty Lawson (4)	EnergySolutions Arena 19,911	34-17
52	February 9	Mavericks	W 127–91 (OT)	Nenê (21)	Chris Andersen (10)	Ty Lawson (7)	Pepsi Center 17,485	35-17
53	February 11	Spurs	L 92–111 (OT)	Nenê (20)	Nenê (9)	Chauncey Billups (7)	Pepsi Center 18,611	35-18
54	February 18	@ Cavaliers	W 118–116 (OT)	Carmelo Anthony (40)	Kenyon Martin (17)	Chauncey Billups (8)	Quicken Loans Arena 20,562	36-18
55	February 19	@ Wizards	L 97–107 (OT)	Chauncey Billups (28)	Kenyon Martin , Nenê (9)	Ty Lawson (3)	Verizon Center 17,212	36-19
56	February 21	Celtics	W 114–105 (OT)	Chauncey Billups (26)	Kenyon Martin , Nenê (10)	Carmelo Anthony (8)	Pepsi Center 19,818	37-19
57	February 25	@ Warriors	W 127–112 (OT)	Chauncey Billups (37)	Chris Andersen (11)	Chauncey Billups (9)	Oracle Arena 18,555	38-19
58	February 26	Pistons	W 107–102 (OT)	Chauncey Billups (25)	Joey Graham (7)	Ty Lawson , Nenê , J.R. Smith (4)	Pepsi Center 19,845	39-19
