Date	Visitor	Score	Home	Record
February 3	NY Islanders	7 - 2	New Jersey	11-32-11
February 5	New Jersey	4 - 5	Washington	11-33-11
February 6	Vancouver	4 - 4	New Jersey	11-33-12
February 9	New Jersey	4 - 5	Chicago	11-34-12
February 12	New Jersey	1 - 5	St. Louis	11-35-12
February 15	Minnesota	3 - 2	New Jersey	11-36-12
February 20	New Jersey	0 - 3	Philadelphia	11-37-12
February 21	Buffalo	4 - 4	New Jersey	11-37-13
February 24	Detroit	1 - 4	New Jersey	12-37-13
February 26	New Jersey	4 - 5	Pittsburgh	12-38-13
February 27	New Jersey	2 - 6	Buffalo	12-39-13
