Player	No.	Nationality	Position	Years in Orlando	School/Club Team
Tariq Abdul-Wahad	9	France	Forward	1999–2000	San José State
Arron Afflalo	4	United States	Guard	2012–present	UCLA
Mark Acres	42	United States	Center	1989–1992	Oral Roberts
Cory Alexander	2	United States	Guard	2000–2001	Virginia
Malik Allen	35	United States	Forward	2010-2011	Villanova
Rafer Alston	1	United States	Guard	2009	Fresno State
John Amaechi	13	England	Forward-Center	1999–2001	Penn State
Nick Anderson	25	United States	Guard	1989–1999	Illinois
Ryan Anderson	33	United States	Forward-Center	2009–2012	California
Michael Ansley	45	United States	Forward	1989–1991	Alabama
Robert Archibald	21	Scotland	Forward-Center	2003	Illinois
Gilbert Arenas	1	United States	Guard	2010-2011	Arizona
Trevor Ariza	1	United States	Forward	2006–2007	UCLA
B. J. Armstrong	2	United States	Guard	1998–1999	Iowa
Darrell Armstrong	10	United States	Guard	1994–2003	Fayetteville State
Carlos Arroyo	30	Puerto Rico	Guard	2006–2008	Florida International
Chucky Atkins	31	United States	Guard	1999–2000	South Florida
Stacey Augmon	2	United States	Forward	2004–2006	UNLV
James Augustine	40	United States	Forward	2006–2008	Illinois
Isaac Austin	8	United States	Center	1998–1999	Arizona State
Anthony Avent	0	United States	Forward	1993–1995	Seton Hall
