District	Representative	Party Change?	Prior background	Religion	Birth year
Alabama 2	Bobby Bright (D)	Yes	Mayor of Montgomery	Baptist	1952
Alabama 5	Parker Griffith (D)	No	oncologist State Senator	Episcopalian	1942
Arizona 1	Ann Kirkpatrick (D)	Yes	attorney Arizona House of Representatives	Roman Catholic	1950
California 4	Tom McClintock (R)	No	State Senator	Baptist	1956
California 52	Duncan D. Hunter (R)	No	United States Marine Corps	Protestant	1976
Colorado 2	Jared Polis (D)	No	Businessman, Colorado State Board of Education	Jewish	1975
Colorado 4	Betsy Markey (D)	Yes	Businesswoman	Roman Catholic	1956
Connecticut 4	Jim Himes (D)	Yes	Businessman	Presbyterian	1966
Florida 8	Alan Grayson (D)	Yes	Attorney	Jewish	1958
Florida 15	Bill Posey (R)	No	State Senator	Methodist	1947
Florida 16	Tom Rooney (R)	Yes	Attorney	Roman Catholic	1970
Florida 24	Suzanne Kosmas (D)	Yes	State Representative	Methodist	1944
Idaho 1	Walt Minnick (D)	Yes	Businessman	Unitarian	1942
Illinois 11	Debbie Halvorson (D)	Yes	State Senate Majority Leader	Lutheran	1958
Illinois 18	Aaron Schock (R)	No	State Representative	Baptist	1981
Kansas 2	Lynn Jenkins (R)	Yes	State Legislator , Kansas State Treasurer	United Methodist	1963
Kentucky 2	Brett Guthrie (R)	No	State Senator	Church of Christ	1964
Louisiana 4	John C. Fleming (R)	No	Physician , Webster Parish Coroner	Baptist	1951
Louisiana 6	Bill Cassidy (R)	Yes	Physician State Senator	Christian	1957
Maryland 1	Frank Kratovil (D)	Yes	Queen Anne's County State's Attorney	Episcopalian	1968
Minnesota 3	Erik Paulsen (R)	No	State Representative	Lutheran	1965
Mississippi 3	Gregg Harper (R)	No	Attorney, Rankin County Party Chairman	Baptist	1956
New Jersey 7	Leonard Lance (R)	No	State Senator	Roman Catholic	1952
New Mexico 1	Martin Heinrich (D)	Yes	Albuquerque City Council President	Lutheran	1971
New Mexico 2	Harry Teague (D)	Yes	Lea County Commissioner	Baptist	1949
New Mexico 3	Ben R. Luján (D)	No	New Mexico Public Regulation Commissioner	Roman Catholic	1972
New York 13	Michael McMahon (D)	Yes	attorney man New York City Council	Roman Catholic	1957
New York 21	Paul Tonko (D)	No	Engineer , State Assemblyman	Roman Catholic	1949
New York 25	Dan Maffei (D)	Yes	Congressional aide	Roman Catholic	1968
New York 26	Chris Lee (R)	No	Philanthropist	Protestant	1964
New York 29	Eric Massa (D)	Yes	Philanthropist, United States Navy	Roman Catholic	1959
North Carolina 8	Larry Kissell (D)	Yes	Social Studies Teacher	Southern Baptist	1951
Ohio 1	Steve Driehaus (D)	Yes	State Representative	Roman Catholic	1966
Ohio 7	Steve Austria (R)	No	State Representative , State Senator	Roman Catholic	1958
Ohio 15	Mary Jo Kilroy (D)	Yes	Franklin County Commissioner	Roman Catholic	1949
Ohio 16	John Boccieri (D)	Yes	State Representative , State Senator	Roman Catholic	1969
Oregon 5	Kurt Schrader (D)	No	Veterinarian State Representative , State Senator	Episcopalian	1951
Pennsylvania 3	Kathy Dahlkemper (D)	Yes	Businesswoman clinical dietitian	Roman Catholic	1957
Pennsylvania 5	Glenn Thompson (R)	No	Centre County Party Chairman	Protestant	1959
Tennessee 1	Phil Roe (R)	No	Physician, Mayor of Johnson City	Methodist	1945
Texas 22	Pete Olson (R)	Yes	Congressional aide	United Methodist	1962
Utah 3	Jason Chaffetz (R)	No	Businessman	Mormon	1967
Virginia 2	Glenn Nye (D)	Yes	Foreign Service Officer	Presbyterian	1974
Virginia 5	Tom Perriello (D)	Yes	Attorney	Roman Catholic	1974
Virginia 11	Gerry Connolly (D)	Yes	Fairfax County Board of Supervisors	Roman Catholic	1950
