Week	Date	Opponent	Result	Attendance
1	September 5, 1993	at Cleveland Browns	L 14–27	75,508
2	September 12, 1993	Indianapolis Colts	L 6–9	50,299
3	September 19, 1993	at Pittsburgh Steelers	L 7–34	53,682
4	September 26, 1993	Seattle Seahawks	L 10–19	46,880
5	Bye	Bye	Bye	Bye
6	October 10, 1993	at Kansas City Chiefs	L 15–17	75,394
7	October 17, 1993	Cleveland Browns	L 17–28	55,647
8	October 24, 1993	at Houston Oilers	L 12–28	50,039
9	Bye	Bye	Bye	Bye
10	November 7, 1993	Pittsburgh Steelers	L 16–24	51,202
11	November 14, 1993	Houston Oilers	L 3–38	42,347
12	November 21, 1993	at New York Jets	L 12–17	64,264
13	November 28, 1993	Los Angeles Raiders	W 16–10	43,272
14	December 5, 1993	at San Francisco 49ers	L 8–21	60,039
15	December 12, 1993	at New England Patriots	L 2–7	29,794
16	December 19, 1993	Los Angeles Rams	W 15–3	36,612
17	December 26, 1993	Atlanta Falcons	W 21–17	27,014
18	January 2, 1994	at New Orleans Saints	L 13–20	58,036
