Pick	Player	Position	Nationality	NHL team	College/junior/club team
157	Sergei Polischuk	Defence	Russia	Ottawa Senators	Krylja Sovetov (Russia)
158	Anatoly Filatov	Forward	Russia	San Jose Sharks	Ust-Kamenogorsk Torpedo (Russia)
159	Mathieu Raby	Defence	Canada	Tampa Bay Lightning	Victoriaville Tigers (QMJHL)
160	Ryan Meade	Left Wing	United States	Chicago Blackhawks	Bloomington Kennedy High School (HS-Minnesota)
161	Trevor Doyle	Defence	Canada	Florida Panthers	Kingston Frontenacs (OHL)
162	Sergei Kondrashkin	Left Wing	Russia	New York Rangers	Cherepovets Metallurg (Russia)
163	Alexander Zhurik	Defence	Belarus	Edmonton Oilers	Dynamo Minsk (Russia)
164	Todd Marchant	Left Wing	United States	New York Rangers	Clarkson University (NCAA)
165	Jeremy Stasiuk	Right Wing	Canada	Dallas Stars	Spokane Chiefs (WHL)
166	Aaron Israel	Goaltender	United States	Philadelphia Flyers	Harvard University (NCAA)
167	Mike Buzak	Goaltender	Canada	St. Louis Blues	Michigan State University (NCAA)
168	Sergei Petrenko	Left Wing	Ukraine	Buffalo Sabres	Moscow Dynamo (Russia)
169	Nikolai Zavarukhin	Centre	Russia	New Jersey Devils	Ufa Salavat Yulayev (Russia)
170	Darren Van Impe	Defence	Canada	New York Islanders	Red Deer Rebels (WHL)
171	Martin Woods	Defence	Canada	Winnipeg Jets	Victoriaville Tigers (QMJHL)
172	Justin Martin	Right Wing	United States	Los Angeles Kings	Essex Junction High School (HS-Vermont)
173	Dan Hendrickson	Centre	United States	Washington Capitals	St. Paul Vulcans (USHL)
174	Andrew Brunette	Left Wing	Canada	Washington Capitals	Hampton Roads Admirals (ECHL)
175	Jeff Andrews	Left Wing	Canada	Toronto Maple Leafs	North Bay Centennials (OHL)
176	Evgeny Babariko	Centre	Russia	Vancouver Canucks	Nizhny Novgorod Torpedo (Russia)
177	David Ruhly	Left Wing	United States	Montreal Canadiens	Culver Military Academy (Indiana)
178	Yuri Yuresko	Defence	Russia	Detroit Red Wings	CSKA Moscow (Russia)
179	David Ling	Right Wing	Canada	Quebec Nordiques	Kingston Frontenacs (OHL)
180	Tom White	Left Wing	United States	Chicago Blackhawks	Westminster High School (HS-Connecticut)
181	Ryan Golden	Left Wing	United States	Boston Bruins	Reading High School (HS-Massachusetts)
182	Sean Selmser	Left Wing	Canada	Pittsburgh Penguins	Red Deer Rebels (WHL)
