Region	Date	Label	Format	Catalog
Europe	October 11, 2004	Sony BMG , Columbia	CD	COL 518748 9
Europe	October 11, 2004	Sony BMG , Columbia	CD/ DVD	COL 518748 7
United States	October 12, 2004	Epic	CD	5187482
United States	October 12, 2004	Epic	CD/DVD	5187487
Canada	October 12, 2004	Sony BMG, Columbia	CD	5187482
Canada	October 12, 2004	Sony BMG, Columbia	CD/DVD	5187487
Australia	October 15, 2004	Sony BMG, Epic	CD	5187482
Australia	October 15, 2004	Sony BMG, Epic	CD/DVD	5187487
South Korea	November 16, 2004	Sony BMG, Columbia	CD	CPK-3337
Japan	December 22, 2004	Sony Music Japan , Epic	CD	5187482
