School	Team	City	State	Conference
Ave Maria	Gyrenes	Naples	Florida	Independent
Avila	Eagles	Kansas City	Missouri	Heart of America
Bacone	Warriors	Muskogee	Oklahoma	CSFL
Baker	Wildcats	Baldwin City	Kansas	Heart of America
Belhaven	Blazers	Jackson	Mississippi	Mid-South
Benedictine	Ravens	Atchison	Kansas	Heart of America
Bethany	Terrible Swedes	Lindsbord	Kansas	Kansas Collegiate
Bethel (KS)	Threshers	Newton	Kansas	Kansas Collegiate
Bethel (TN)	Wildcats	McKenzie	Tennessee	Mid-South
Bluefield	Rams	Bluefield	Virginia	Mid-South
Briar Cliff	Chargers	Sioux City	Iowa	Great Plains
Campbellsville	Tigers	Campbellsville	Kentucky	Mid-South
Carroll	Fighting Saints	Helena	Montana	Frontier
Central Methodist	Eagles	Fayette	Missouri	Heart of America
Concordia (MI)	Cardinals	Ann Arbor	Michigan	MSFA
Concordia (NE)	Bulldogs	Seward	Nebraska	Great Plains
Culver-Stockton	Wildcats	Canton	Missouri	Heart of America
Cumberland (TN)	Bulldogs	Lebanon	Tennessee	Mid-South
Cumberlands (KY)	Patriots	Williamsburg	Kentucky	Mid-South
Dakota State	Trojans	Madison	South Dakota	NSAA
Dakota Wesleyan	Tigers	Mitchell	South Dakota	Great Plains
Dickinson State	Blue Hawks	Dickinson	North Dakota	Frontier
Doane	Tigers	Crete	Nebraska	Great Plains
Dordt	Defenders	Sioux Center	Iowa	Great Plains
Eastern Oregon	Mountaineers	La Grande	Oregon	Frontier
Edward Waters	Tigers	Jacksonville	Florida	Independent
Evangel	Crusaders	Springfield	Missouri	Heart of America
Faulkner	Eagles	Montgomery	Alabama	Mid-South
Friends University	Falcons	Wichita	Kansas	Kansas Collegiate
Georgetown	Tigers	Georgetown	Kentucky	Mid-South
Graceland	Yellowjackets	Lamoni	Iowa	Heart of America
Grand View	Vikings	Des Moines	Iowa	MSFA
Haskell Indian Nations	Fighting Indians	Lawrence	Kansas	Independent
Hastings	Broncos	Hastings	Nebraska	Great Plains
Jamestown	Jimmies	Jamestown	North Dakota	NSAA
Kansas Wesleyan	Coyotes	Salina	Kansas	Kansas Collegiate
Kentucky Christian	Knights	Grayson	Kentucky	Mid-South
Langston	Lions	Langston	Oklahoma	CSFL
Lindenwood-Belleville	Lynx	Belleville	Illinois	Independent
Lindsey Wilson	Blue Raiders	Columbia	Kentucky	Mid-South
Marian	Knights	Indianapolis	Indiana	MSFA
Mayville State	Comets	Mayville	North Dakota	NSAA
McPherson	Bulldogs	McPherson	Kansas	Kansas Collegiate
MidAmerica Nazarene	Pioneers	Olathe	Kansas	Heart of America
Midland University	Warriors	Fremont	Nebraska	Great Plains
Missouri Valley	Vikings	Marshall	Missouri	Heart of America
Montana - Western	Bulldogs	Dillon	Montana	Frontier
Montana State - Northern	Lights	Havre	Montana	Frontier
Montana Tech	Orediggers	Butte	Montana	Frontier
Morningside	Mustangs	Sioux City	Iowa	Great Plains
Nebraska Wesleyan	Prairie Wolves	Lincoln	Nebraska	Great Plains
Northwestern	Red Raiders	Orange City	Iowa	Great Plains
Olivet Nazarene	Tigers	Bourbonnais	Illinois	MSFA
Ottawa	Braves	Ottawa	Kansas	Kansas Collegiate
Peru State	Bobcats	Peru	Nebraska	Heart of America
Pikeville	Bears	Pikeville	Kentucky	Mid-South
Point	Skyhawks	East Point	Georgia	Independent
Presentation	Saints	Aberdeen	South Dakota	NSAA
Robert Morris	Eagles	Chicago	Illinois	MSFA
Rocky Mountain	Battlin' Bears	Billings	Montana	Frontier
St. Ambrose	Fighting Bees	Davenport	Iowa	MSFA
St. Francis (IL)	Fighting Saints	Joliet	Illinois	MSFA
St. Francis (IN)	Cougars	Fort Wayne	Indiana	MSFA
St. Mary	Spires	Leavenworth	Kansas	Kansas Collegiate
St. Xavier	Cougars	Chicago	Illinois	MSFA
Siena Heights	Saints	Adrian	Michigan	MSFA
Southern Oregon	Raiders	Ashland	Oregon	Frontier
Southwestern Assemblies	Lions	Waxahachie	Texas	CSFL
Southwestern	Moundbuilders	Winfield	Kansas	Kansas Collegiate
Sterling	Warriors	Sterling	Kansas	Kansas Collegiate
Tabor	Bluejays	Hillsboro	Kansas	Kansas Collegiate
Taylor	Trojans	Upland	Indiana	MSFA
Texas	Steers	Tyler	Texas	CSFL
Trinity International	Trojans	Deerfield	Illinois	MSFA
Union	Bulldogs	Barbourville	Kentucky	Mid-South
Valley City State	Vikings	Valley City	North Dakota	NSAA
Waldorf	Warriors	Forest City	Iowa	MSFA
Wayland Baptist	Pioneers	Plainview	Texas	CSFL
Webber International	Warriors	Babson Park	Florida	Independent
William Penn	Statesmen	Oskaloosa	Iowa	MSFA
