Game	March	Opponent	Score	Record	Points
63	4	Detroit Red Wings	2–2	24–28–11	59
64	6	California Golden Seals	4–4	24–28–12	60
65	7	@ Minnesota North Stars	1–3	24–29–12	60
66	10	@ Pittsburgh Penguins	2–2	24–29–13	61
67	12	@ New York Rangers	2–7	24–30–13	61
68	13	@ Toronto Maple Leafs	3–2	25–30–13	63
69	18	New York Rangers	2–1	26–30–13	65
70	20	@ Boston Bruins	3–5	26–31–13	65
71	21	Toronto Maple Leafs	1–1	26–31–14	66
72	24	@ Montreal Canadiens	3–5	26–32–14	66
73	25	Minnesota North Stars	2–2	26–32–15	67
74	27	@ Chicago Black Hawks	1–3	26–33–15	67
75	28	Pittsburgh Penguins	3–1	27–33–15	69
